"","WORKDAY","MONTHWEEK","WEEKDAY","MONTHDAY","MONTH","YEAR","BEFVAC","AFTVAC","BEFCHR","AFTCHR","WHSLINES","forecastlines","delta","error_rate","error_rate_abs"
"5",7,1,6,9,1,2015,0,0,0,0,26195,22514.552734375,-3680.447265625,-0.140501899813896,0.140501899813896
"8",10,2,4,14,1,2015,0,0,0,0,26135,26772.10546875,637.10546875,0.02437748110771,0.02437748110771
"10",12,2,6,16,1,2015,0,0,0,0,21096,21071.3515625,-24.6484375,-0.00116839388983694,0.00116839388983694
"18",20,4,4,28,1,2015,0,0,0,0,23890,25050.052734375,1160.052734375,0.0485580885046044,0.0485580885046044
"20",22,4,6,30,1,2015,0,0,0,0,20696,19258.693359375,-1437.306640625,-0.0694485234163607,0.0694485234163607
"23",3,1,4,4,2,2015,0,0,0,0,29818,30473.251953125,655.251953125,0.0219750470563083,0.0219750470563083
"30",13,3,4,18,2,2015,0,0,0,0,27509,27108.39453125,-400.60546875,-0.0145627056145262,0.0145627056145262
"43",9,2,5,12,3,2015,0,0,0,0,22126,22773.533203125,647.533203125,0.029265714685212,0.029265714685212
"46",12,3,3,17,3,2015,0,0,0,0,28044,28219.99609375,175.99609375,0.00627571294216232,0.00627571294216232
"50",16,4,2,23,3,2015,0,0,0,0,25641,26397.748046875,756.748046875,0.0295132033413283,0.0295132033413283
"53",19,4,5,26,3,2015,0,0,0,0,21515,22383.75390625,868.75390625,0.0403789870439228,0.0403789870439228
"60",4,2,2,6,4,2015,0,0,0,0,29798,32893.0703125,3095.0703125,0.103868390915498,0.103868390915498
"70",14,4,2,20,4,2015,0,0,0,0,28451,27219.87890625,-1231.12109375,-0.0432716281940881,0.0432716281940881
"73",17,4,5,23,4,2015,0,0,0,0,23540,23633.181640625,93.181640625,0.00395843842926933,0.00395843842926933
"74",19,5,2,27,4,2015,0,0,0,0,23816,25413.373046875,1597.373046875,0.0670714245412748,0.0670714245412748
"76",21,5,4,29,4,2015,0,0,0,0,24377,25308.451171875,931.451171875,0.0382102462105673,0.0382102462105673
"77",22,5,5,30,4,2015,0,0,0,0,22064,21737.85546875,-326.14453125,-0.014781749966008,0.014781749966008
"80",3,1,3,5,5,2015,0,0,0,0,35335,37591.19921875,2256.19921875,0.0638516829984435,0.0638516829984435
"85",8,2,3,12,5,2015,0,0,0,0,29575,28889.95703125,-685.04296875,-0.0231629068047337,0.0231629068047337
"91",14,3,4,20,5,2015,0,0,0,0,28845,28678.00390625,-166.99609375,-0.00578942949384642,0.00578942949384642
"101",6,2,2,8,6,2015,0,0,0,0,30883,31155.9609375,272.9609375,0.00883854993038241,0.00883854993038241
"107",12,3,3,16,6,2015,0,0,0,0,30129,30618.43359375,489.43359375,0.0162446013392413,0.0162446013392413
"109",14,3,5,18,6,2015,0,0,0,0,25711,25256.134765625,-454.865234375,-0.0176914641350006,0.0176914641350006
"114",19,4,5,25,6,2015,0,0,0,0,23077,23857.208984375,780.208984375,0.0338089432931057,0.0338089432931057
"116",21,5,2,29,6,2015,0,0,0,0,24361,26134.232421875,1773.232421875,0.0727898042721974,0.0727898042721974
"118",1,1,4,1,7,2015,0,0,0,0,33630,36030.125,2400.125,0.0713685697294083,0.0713685697294083
"119",2,1,5,2,7,2015,0,0,0,0,33699,35754.9765625,2055.9765625,0.0610100169886347,0.0610100169886347
"120",6,2,4,8,7,2015,0,0,0,0,34384,33073.265625,-1310.734375,-0.0381204739122848,0.0381204739122848
"121",7,2,5,9,7,2015,0,0,0,0,27290,27569.130859375,279.130859375,0.0102283202409307,0.0102283202409307
"123",9,3,2,13,7,2015,0,0,0,0,28289,28452.18359375,163.18359375,0.00576844687864541,0.00576844687864541
"129",15,4,3,21,7,2015,0,0,0,0,31752,31252.123046875,-499.876953125,-0.0157431643085475,0.0157431643085475
"133",19,5,2,27,7,2015,0,0,0,0,26311,27689.466796875,1378.466796875,0.0523912734930257,0.0523912734930257
"136",22,5,5,30,7,2015,0,0,0,0,24048,22951.232421875,-1096.767578125,-0.0456074342201015,0.0456074342201015
"137",23,5,6,31,7,2015,0,0,0,0,24824,22147.501953125,-2676.498046875,-0.107818967405535,0.107818967405535
"138",1,1,2,3,8,2015,0,0,0,0,33323,36358.25,3035.25,0.0910857365783393,0.0910857365783393
"143",6,2,2,10,8,2015,0,0,0,0,32384,33171.84765625,787.84765625,0.0243282996618701,0.0243282996618701
"144",7,2,3,11,8,2015,0,0,0,0,32744,33491.8671875,747.8671875,0.0228398237081603,0.0228398237081603
"147",10,2,6,14,8,2015,0,0,0,0,24814,22704.33984375,-2109.66015625,-0.0850189472172967,0.0850189472172967
"151",14,3,5,20,8,2015,0,0,0,0,29359,26637.150390625,-2721.849609375,-0.0927092070361729,0.0927092070361729
"155",18,4,4,26,8,2015,0,0,0,0,27925,28559.896484375,634.896484375,0.0227357738361683,0.0227357738361683
"159",1,1,3,1,9,2015,0,0,0,0,36204,37372.15625,1168.15625,0.0322659443707878,0.0322659443707878
"160",2,1,4,2,9,2015,0,0,0,0,42452,39830.16796875,-2621.83203125,-0.0617599178189485,0.0617599178189485
"163",8,2,5,10,9,2015,0,0,0,0,28002,27146.330078125,-855.669921875,-0.0305574573914363,0.0305574573914363
"164",9,2,6,11,9,2015,0,0,0,0,24397,23429.65234375,-967.34765625,-0.0396502707812436,0.0396502707812436
"167",12,3,4,16,9,2015,0,0,0,0,31417,31159.41015625,-257.58984375,-0.0081990592274883,0.0081990592274883
"172",17,4,4,23,9,2015,0,0,0,0,29292,29144.310546875,-147.689453125,-0.00504197231752697,0.00504197231752697
"174",19,4,6,25,9,2015,0,0,0,0,22376,23256.486328125,880.486328125,0.0393495856330443,0.0393495856330443
"177",22,5,4,30,9,2015,0,0,0,0,28583,27445.833984375,-1137.166015625,-0.0397846977442886,0.0397846977442886
"186",9,2,3,13,10,2015,0,0,0,0,30505,31343.74609375,838.74609375,0.027495364489428,0.027495364489428
"187",10,2,4,14,10,2015,0,0,0,0,29498,30031.75390625,533.75390625,0.0180945795053902,0.0180945795053902
"190",13,3,2,19,10,2015,0,0,0,0,28782,29241.63671875,459.63671875,0.0159695892832326,0.0159695892832326
"195",18,4,2,26,10,2015,0,0,0,0,27662,27749.271484375,87.271484375,0.00315492315721929,0.00315492315721929
"199",22,4,6,30,10,2015,0,0,0,0,20806,21775.939453125,969.939453125,0.0466182569030568,0.0466182569030568
"201",2,1,3,3,11,2015,0,0,0,0,41586,40308.29296875,-1277.70703125,-0.030724451287693,0.030724451287693
"221",4,1,6,4,12,2015,0,0,0,0,27236,28299.62890625,1063.62890625,0.0390523170160817,0.0390523170160817
"225",8,2,5,10,12,2015,0,0,0,0,26413,27203.087890625,790.087890625,0.0299128418061182,0.0299128418061182
"232",15,4,2,21,12,2015,0,0,0,0,30895,28166.576171875,-2728.423828125,-0.0883127958609807,0.0883127958609807
"241",10,2,5,14,1,2016,0,0,0,0,28856,26546.66796875,-2309.33203125,-0.0800295270047824,0.0800295270047824
"244",14,3,4,20,1,2016,0,0,0,0,31969,29754.818359375,-2214.181640625,-0.0692602721581845,0.0692602721581845
"245",15,3,5,21,1,2016,0,0,0,0,26073,26506.623046875,433.623046875,0.0166311144431021,0.0166311144431021
"252",1,1,2,1,2,2016,0,0,0,0,32114,32141.064453125,27.064453125,0.000842761821168338,0.000842761821168338
"259",8,2,4,10,2,2016,0,0,0,0,29290,29423.294921875,133.294921875,0.00455086793700922,0.00455086793700922
"260",9,2,5,11,2,2016,0,0,0,0,26216,25737.99609375,-478.00390625,-0.0182332890696521,0.0182332890696521
"267",16,4,2,22,2,2016,0,0,0,0,32677,28666.712890625,-4010.287109375,-0.122725069907733,0.122725069907733
"268",17,4,3,23,2,2016,0,0,0,0,29939,30493.744140625,554.744140625,0.0185291472869835,0.0185291472869835
"269",18,4,4,24,2,2016,0,0,0,0,28669,28056.322265625,-612.677734375,-0.0213707396272978,0.0213707396272978
"270",19,4,5,25,2,2016,0,0,0,0,26073,24315.353515625,-1757.646484375,-0.067412514262839,0.067412514262839
