"","WORKDAY","MONTHWEEK","WEEKDAY","MONTHDAY","MONTH","YEAR","BEFVAC","AFTVAC","BEFCHR","AFTCHR","WHSLINES","forecastlines","delta","error_rate","error_rate_abs"
"1",2,1,6,2,1,2015,0,0,0,0,29694,33179.81640625,3485.81640625,0.117391271174311,0.117391271174311
"4",5,1,4,7,1,2015,0,0,0,0,31991,37921.8046875,5930.8046875,0.185389787362071,0.185389787362071
"6",7,1,6,9,1,2015,0,0,0,0,23329,24955.64453125,1626.64453125,0.0697262862210125,0.0697262862210125
"9",10,2,4,14,1,2015,0,0,0,0,27868,28246.23046875,378.23046875,0.0135722143228793,0.0135722143228793
"10",11,2,5,15,1,2015,0,0,0,0,23149,23309.974609375,160.974609375,0.00695384722342218,0.00695384722342218
"15",16,3,5,22,1,2015,0,0,0,0,20537,21053.751953125,516.751953125,0.0251619980096898,0.0251619980096898
"25",4,1,5,5,2,2015,0,0,0,0,24580,26846.25,2266.25,0.0921989422294548,0.0921989422294548
"28",7,2,3,10,2,2015,0,0,0,0,29912,29567.6796875,-344.3203125,-0.0115111096717037,0.0115111096717037
"35",14,3,5,19,2,2015,0,0,0,0,20876,21575.69140625,699.69140625,0.0335165456145813,0.0335165456145813
"36",15,3,6,20,2,2015,0,0,0,0,18665,20682.736328125,2017.736328125,0.108102669602197,0.108102669602197
"38",17,4,3,24,2,2015,0,0,0,0,25028,26825.6640625,1797.6640625,0.0718261172486815,0.0718261172486815
"52",11,3,2,16,3,2015,0,0,0,0,26947,26386.07421875,-560.92578125,-0.020815889755817,0.020815889755817
"53",12,3,3,17,3,2015,0,0,0,0,31846,28925.64453125,-2920.35546875,-0.0917024263251272,0.0917024263251272
"65",3,1,6,3,4,2015,0,0,0,0,24792,28378.998046875,3586.998046875,0.144683690177275,0.144683690177275
"74",12,3,5,16,4,2015,0,0,0,0,22580,23388.060546875,808.060546875,0.0357865609776351,0.0357865609776351
"80",18,4,6,24,4,2015,0,0,0,0,18800,20421.251953125,1621.251953125,0.0862368060172872,0.0862368060172872
"84",22,5,5,30,4,2015,0,0,0,0,25009,21544.767578125,-3464.232421875,-0.138519429880243,0.138519429880243
"87",3,1,3,5,5,2015,0,0,0,0,35009,39131.36328125,4122.36328125,0.117751529071096,0.117751529071096
"92",8,2,3,12,5,2015,0,0,0,0,28584,28965.68359375,381.68359375,0.0133530504390568,0.0133530504390568
"95",11,2,6,15,5,2015,0,0,0,0,22756,21857.20703125,-898.79296875,-0.0394969664593953,0.0394969664593953
"101",20,4,5,28,5,2015,0,0,0,0,24052,21761.330078125,-2290.669921875,-0.0952382305785382,0.0952382305785382
"103",1,1,2,1,6,2015,0,0,0,0,37814,38478.98046875,664.98046875,0.0175855627214788,0.0175855627214788
"104",2,1,3,2,6,2015,0,0,0,0,43091,42853.66796875,-237.33203125,-0.00550769374695412,0.00550769374695412
"105",3,1,4,3,6,2015,0,0,0,0,37893,34062.30078125,-3830.69921875,-0.101092529457947,0.101092529457947
"107",5,1,6,5,6,2015,0,0,0,0,20382,22719.533203125,2337.533203125,0.114686154603326,0.114686154603326
"109",7,2,3,9,6,2015,0,0,0,0,30656,30483.1484375,-172.8515625,-0.00563842518593424,0.00563842518593424
"121",20,4,6,26,6,2015,0,0,0,0,18770,20439.884765625,1669.884765625,0.0889656241675546,0.0889656241675546
"133",13,3,6,17,7,2015,0,0,0,0,20842,22073.10546875,1231.10546875,0.0590684900081566,0.0590684900081566
"140",20,5,3,28,7,2015,0,0,0,0,27775,28001.875,226.875,0.00816831683168317,0.00816831683168317
"142",22,5,5,30,7,2015,0,0,0,0,21689,22002.306640625,313.306640625,0.0144454165994283,0.0144454165994283
