"","WORKDAY","MONTHWEEK","WEEKDAY","MONTHDAY","MONTH","YEAR","BEFVAC","AFTVAC","BEFCHR","AFTCHR","WHSLINES","forecastlines","delta","error_rate","error_rate_abs"
"3",5,1,4,7,1,2015,0,0,0,0,49396,43098.3984375,-6297.6015625,-0.127492136255972,0.127492136255972
"4",6,1,5,8,1,2015,0,0,0,0,39680,36906.38671875,-2773.61328125,-0.0698995282573085,0.0698995282573085
"5",7,1,6,9,1,2015,0,0,0,0,31933,31161.2890625,-771.7109375,-0.0241665655434817,0.0241665655434817
"6",8,2,2,12,1,2015,0,0,0,0,34757,33798.52734375,-958.47265625,-0.027576391985787,0.027576391985787
"9",11,2,5,15,1,2015,0,0,0,0,31672,32055.498046875,383.498046875,0.012108425324419,0.012108425324419
"15",17,3,6,23,1,2015,0,0,0,0,27337,29422.66796875,2085.66796875,0.0762946910323005,0.0762946910323005
"18",20,4,4,28,1,2015,0,0,0,0,34658,34372.48828125,-285.51171875,-0.0082379744575567,0.0082379744575567
"27",7,2,3,10,2,2015,0,0,0,0,41810,40786.65234375,-1023.34765625,-0.024476145808419,0.024476145808419
"28",8,2,4,11,2,2015,0,0,0,0,37828,36763.08984375,-1064.91015625,-0.0281513734865708,0.0281513734865708
"31",11,3,2,16,2,2015,0,0,0,0,26215,29261.4921875,3046.4921875,0.116211794297158,0.116211794297158
"34",14,3,5,19,2,2015,0,0,0,0,31002,32747.15625,1745.15625,0.0562917311786336,0.0562917311786336
"39",19,4,5,26,2,2015,0,0,0,0,28727,30569.869140625,1842.869140625,0.0641511170893236,0.0641511170893236
"52",12,3,3,17,3,2015,0,0,0,0,43507,40017.4609375,-3489.5390625,-0.0802063820189854,0.0802063820189854
"64",2,1,5,2,4,2015,0,0,0,0,45575,44308.26953125,-1266.73046875,-0.027794415112452,0.027794415112452
"76",14,4,2,20,4,2015,0,0,0,0,35836,35058.8359375,-777.1640625,-0.0216866855257283,0.0216866855257283
