"","WORKDAY","MONTHWEEK","WEEKDAY","MONTHDAY","MONTH","YEAR","BEFVAC","AFTVAC","BEFCHR","AFTCHR","WHSLINES","forecastlines","delta","error_rate","error_rate_abs"
"4",6,1,5,8,1,2015,0,0,0,0,54014,47641.37890625,-6372.62109375,-0.117980914091717,0.117980914091717
"5",7,1,6,9,1,2015,0,0,0,0,41310,39010.25,-2299.75,-0.0556705398208666,0.0556705398208666
"9",11,2,5,15,1,2015,0,0,0,0,45576,43687.9921875,-1888.0078125,-0.0414254829844655,0.0414254829844655
"10",12,2,6,16,1,2015,0,0,0,0,37190,38615.4453125,1425.4453125,0.0383287257999462,0.0383287257999462
"15",17,3,6,23,1,2015,0,0,0,0,37028,36587.1640625,-440.8359375,-0.0119054752484606,0.0119054752484606
"17",19,4,3,27,1,2015,0,0,0,0,36232,45972.2890625,9740.2890625,0.268831117865423,0.268831117865423
"21",1,1,2,2,2,2015,0,0,0,0,44292,54392.68359375,10100.68359375,0.228047584072745,0.228047584072745
"22",2,1,3,3,2,2015,0,0,0,0,51640,56295.73046875,4655.73046875,0.0901574451733153,0.0901574451733153
"27",7,2,3,10,2,2015,0,0,0,0,52453,52345.60546875,-107.39453125,-0.00204744306808,0.00204744306808
"28",8,2,4,11,2,2015,0,0,0,0,47648,48118.9921875,470.9921875,0.0098848259633143,0.0098848259633143
"30",10,2,6,13,2,2015,0,0,0,0,37844,37091.4609375,-752.5390625,-0.0198852939039214,0.0198852939039214
"31",11,3,2,16,2,2015,0,0,0,0,39433,42235.74609375,2802.74609375,0.0710761568673446,0.0710761568673446
"42",2,1,3,3,3,2015,0,0,0,0,51680,56377.37109375,4697.37109375,0.0908934035168344,0.0908934035168344
"53",13,3,4,18,3,2015,0,0,0,0,48092,48210.15234375,118.15234375,0.00245679829805373,0.00245679829805373
"55",15,3,6,20,3,2015,0,0,0,0,35299,36401.6171875,1102.6171875,0.0312364992634352,0.0312364992634352
"57",17,4,3,24,3,2015,0,0,0,0,51529,51387.4453125,-141.5546875,-0.00274708780492538,0.00274708780492538
"66",4,2,2,6,4,2015,0,0,0,0,48506,53051.74609375,4545.74609375,0.0937151299581495,0.0937151299581495
"68",6,2,4,8,4,2015,0,0,0,0,47981,49535.05859375,1554.05859375,0.0323890413653321,0.0323890413653321
"70",8,2,6,10,4,2015,0,0,0,0,38147,37227.90625,-919.09375,-0.0240934739297979,0.0240934739297979
"88",4,1,4,6,5,2015,0,0,0,0,50729,54379.32421875,3650.32421875,0.0719573462664354,0.0719573462664354
"89",5,1,5,7,5,2015,0,0,0,0,45042,44386.14453125,-655.85546875,-0.0145609757282092,0.0145609757282092
"100",19,4,4,27,5,2015,0,0,0,0,55458,49342.49609375,-6115.50390625,-0.110272709189837,0.110272709189837
"104",2,1,3,2,6,2015,0,0,0,0,61309,60923.85546875,-385.14453125,-0.00628202272504852,0.00628202272504852
"107",5,1,6,5,6,2015,0,0,0,0,36913,38742.546875,1829.546875,0.049563754639287,0.049563754639287
"110",8,2,4,10,6,2015,0,0,0,0,52306,52479.6171875,173.6171875,0.003319259501778,0.003319259501778
"111",9,2,5,11,6,2015,0,0,0,0,43316,44856.96484375,1540.96484375,0.0355749571463201,0.0355749571463201
"117",15,3,6,19,6,2015,0,0,0,0,36835,37009.75,174.75,0.00474412922492195,0.00474412922492195
"119",17,4,3,23,6,2015,0,0,0,0,53204,52766.3515625,-437.6484375,-0.00822585590369145,0.00822585590369145
"122",20,4,6,26,6,2015,0,0,0,0,38752,36888.421875,-1863.578125,-0.0480898566525599,0.0480898566525599
"126",2,1,5,2,7,2015,0,0,0,0,45212,53246.06640625,8034.06640625,0.177697655627931,0.177697655627931
"128",7,2,5,9,7,2015,0,0,0,0,45914,46853.60546875,939.60546875,0.0204644654952738,0.0204644654952738
"131",10,3,3,14,7,2015,0,0,0,0,54856,56880.2578125,2024.2578125,0.0369013018174858,0.0369013018174858
"140",19,5,2,27,7,2015,0,0,0,0,51298,49721.453125,-1576.546875,-0.0307331060665133,0.0307331060665133
"150",6,2,2,10,8,2015,0,0,0,0,51179,53837.55859375,2658.55859375,0.051946278625022,0.051946278625022
"151",7,2,3,11,8,2015,0,0,0,0,59385,57810.68359375,-1574.31640625,-0.0265103377325924,0.0265103377325924
"159",15,3,6,21,8,2015,0,0,0,0,37492,37399.39453125,-92.60546875,-0.00247000610130161,0.00247000610130161
"162",18,4,4,26,8,2015,0,0,0,0,50363,52386.16796875,2023.16796875,0.0401717127405039,0.0401717127405039
"165",21,5,2,31,8,2015,0,0,0,0,42816,46752.859375,3936.859375,0.0919483224729073,0.0919483224729073
"172",10,3,2,14,9,2015,0,0,0,0,54389,52081.91015625,-2307.08984375,-0.0424183170080347,0.0424183170080347
"173",11,3,3,15,9,2015,0,0,0,0,54956,57183.2265625,2227.2265625,0.0405274503693864,0.0405274503693864
"178",16,4,3,22,9,2015,0,0,0,0,54576,54700.4140625,124.4140625,0.00227964787635591,0.00227964787635591
"183",21,5,3,29,9,2015,0,0,0,0,52387,53768.1484375,1381.1484375,0.0263643353790062,0.0263643353790062
"185",1,1,5,1,10,2015,0,0,0,0,52035,55262.86328125,3227.86328125,0.062032541198232,0.062032541198232
"192",8,2,2,12,10,2015,0,0,0,0,46597,52408.31640625,5811.31640625,0.124714389472498,0.124714389472498
"196",12,2,6,16,10,2015,0,0,0,0,41378,40036.0625,-1341.9375,-0.0324311832374692,0.0324311832374692
"200",16,3,5,22,10,2015,0,0,0,0,41389,42463.83203125,1074.83203125,0.02596902634154,0.02596902634154
"204",20,4,4,28,10,2015,0,0,0,0,51918,50073.82421875,-1844.17578125,-0.0355209326485997,0.0355209326485997
"214",8,2,4,11,11,2015,0,0,0,0,50450,52579.6171875,2129.6171875,0.0422124318632309,0.0422124318632309
"215",9,2,5,12,11,2015,0,0,0,0,45631,46138.13671875,507.13671875,0.0111138637932546,0.0111138637932546
"216",10,2,6,13,11,2015,0,0,0,0,41293,39068.484375,-2224.515625,-0.0538714945632432,0.0538714945632432
"220",14,3,5,19,11,2015,0,0,0,0,45450,44492.73828125,-957.26171875,-0.0210618639988999,0.0210618639988999
"222",16,4,2,23,11,2015,0,0,0,0,52547,50764.109375,-1782.890625,-0.0339294464955183,0.0339294464955183
"224",21,5,2,30,11,2015,0,0,0,0,53980,48889.265625,-5090.734375,-0.0943077876065209,0.0943077876065209
"226",2,1,4,2,12,2015,0,0,0,0,60340,60528.77734375,188.77734375,0.00312856055270136,0.00312856055270136
"230",6,2,3,8,12,2015,0,0,0,0,62991,60058.80859375,-2932.19140625,-0.046549370644219,0.046549370644219
"231",7,2,4,9,12,2015,0,0,0,0,53556,54985.68359375,1429.68359375,0.026695115276533,0.026695115276533
"232",8,2,5,10,12,2015,0,0,0,0,47364,47297.58984375,-66.41015625,-0.00140212305231822,0.00140212305231822
"235",11,3,3,15,12,2015,0,0,0,0,56178,57984.7890625,1806.7890625,0.0321618616273274,0.0321618616273274
"237",13,3,5,17,12,2015,0,0,0,0,44502,45164.6171875,662.6171875,0.0148896046806885,0.0148896046806885
"238",14,3,6,18,12,2015,0,0,0,0,39395,37883.953125,-1511.046875,-0.0383563110800863,0.0383563110800863
"240",16,4,3,22,12,2015,0,0,0,0,54485,52033.5390625,-2451.4609375,-0.0449933181150775,0.0449933181150775
"241",21,5,3,29,12,2015,0,0,0,0,44140,49082.5234375,4942.5234375,0.111973797859085,0.111973797859085
"247",7,2,2,11,1,2016,0,0,0,0,55691,55809.27734375,118.27734375,0.00212381432816793,0.00212381432816793
"250",10,2,5,14,1,2016,0,0,0,0,44782,45463.8515625,681.8515625,0.0152260185453977,0.0152260185453977
"255",15,3,5,21,1,2016,0,0,0,0,42525,41699.52734375,-825.47265625,-0.0194114675191064,0.0194114675191064
"258",18,4,3,26,1,2016,0,0,0,0,48236,52509.0859375,4273.0859375,0.0885870706007961,0.0885870706007961
"260",20,4,5,28,1,2016,0,0,0,0,41537,41072.02734375,-464.97265625,-0.0111941800382791,0.0111941800382791
"262",1,1,2,1,2,2016,0,0,0,0,58028,55526.27734375,-2501.72265625,-0.0431123363936376,0.0431123363936376
"266",5,1,6,5,2,2016,0,0,0,0,37658,38382.95703125,724.95703125,0.0192510762985289,0.0192510762985289
"273",12,3,3,16,2,2016,0,0,0,0,49704,52242.9921875,2538.9921875,0.05108225067399,0.05108225067399
"274",13,3,4,17,2,2016,0,0,0,0,50365,47766.55859375,-2598.44140625,-0.0515922050282935,0.0515922050282935
"277",16,4,2,22,2,2016,0,0,0,0,48476,47268.09375,-1207.90625,-0.0249176138707814,0.0249176138707814
"281",20,4,6,26,2,2016,0,0,0,0,37539,36104.4296875,-1434.5703125,-0.0382154642505128,0.0382154642505128
"284",2,1,4,2,3,2016,0,0,0,0,55484,57463.62109375,1979.62109375,0.0356791344126235,0.0356791344126235
"286",4,1,6,4,3,2016,0,0,0,0,40177,38599.28515625,-1577.71484375,-0.0392691053027852,0.0392691053027852
"289",7,2,4,9,3,2016,0,0,0,0,49837,49630.52734375,-206.47265625,-0.0041429591719004,0.0041429591719004
"299",17,4,4,23,3,2016,0,0,0,0,50443,48922.18359375,-1520.81640625,-0.0301492061584363,0.0301492061584363
"304",22,5,4,30,3,2016,0,0,0,0,49434,48570.77734375,-863.22265625,-0.0174621243729012,0.0174621243729012
"305",23,5,5,31,3,2016,0,0,0,0,38690,44994.99609375,6304.99609375,0.162961904723443,0.162961904723443
"306",1,1,6,1,4,2016,0,0,0,0,45050,48581.1171875,3531.1171875,0.0783821795227525,0.0783821795227525
"307",2,1,2,4,4,2016,0,0,0,0,61787,58284.48046875,-3502.51953125,-0.0566869977705666,0.0566869977705666
"309",4,1,4,6,4,2016,0,0,0,0,54993,54424.32421875,-568.67578125,-0.0103408757705526,0.0103408757705526
"311",6,1,6,8,4,2016,0,0,0,0,40255,38885.92578125,-1369.07421875,-0.0340100414544777,0.0340100414544777
"315",10,2,5,14,4,2016,0,0,0,0,43946,41736.2734375,-2209.7265625,-0.0502827689095708,0.0502827689095708
"322",17,4,2,25,4,2016,0,0,0,0,49593,50011.84375,418.84375,0.00844562236605973,0.00844562236605973
"324",19,4,4,27,4,2016,0,0,0,0,46151,47821.48046875,1670.48046875,0.0361959755747438,0.0361959755747438
"331",5,1,6,6,5,2016,0,0,0,0,39193,39571.1328125,378.1328125,0.0096479680682775,0.0096479680682775
"333",7,2,3,10,5,2016,0,0,0,0,58529,58677.32421875,148.32421875,0.0025342004604555,0.0025342004604555
"351",6,2,4,8,6,2016,0,0,0,0,54936,53410.13671875,-1525.86328125,-0.0277752890863914,0.0277752890863914
"357",12,3,5,16,6,2016,0,0,0,0,42159,44328.2109375,2169.2109375,0.0514530927559952,0.0514530927559952
"360",15,4,3,21,6,2016,0,0,0,0,54960,53323.1484375,-1636.8515625,-0.0297825975709607,0.0297825975709607
"362",17,4,5,23,6,2016,0,0,0,0,41947,42729.99609375,782.99609375,0.0186663192540587,0.0186663192540587
"363",18,4,6,24,6,2016,0,0,0,0,38992,38667.56640625,-324.43359375,-0.00832051686884489,0.00832051686884489
"368",4,1,4,6,7,2016,0,0,0,0,65913,56340.57421875,-9572.42578125,-0.145228191422785,0.145228191422785
"371",7,2,2,11,7,2016,0,0,0,0,56893,56567.63671875,-325.36328125,-0.00571886315100276,0.00571886315100276
"372",8,2,3,12,7,2016,0,0,0,0,57336,59530.4921875,2194.4921875,0.0382742463286591,0.0382742463286591
"387",2,1,3,2,8,2016,0,0,0,0,68336,62265.96484375,-6070.03515625,-0.0888263163815558,0.0888263163815558
"392",7,2,3,9,8,2016,0,0,0,0,63176,59079.43359375,-4096.56640625,-0.06484371290126,0.06484371290126
"393",8,2,4,10,8,2016,0,0,0,0,52009,52078.1328125,69.1328125,0.00132924710146321,0.00132924710146321
"396",11,3,2,15,8,2016,0,0,0,0,52275,51362.84765625,-912.15234375,-0.017449112266858,0.017449112266858
"397",12,3,3,16,8,2016,0,0,0,0,57317,56125.5703125,-1191.4296875,-0.0207866721478793,0.0207866721478793
"404",19,4,5,25,8,2016,0,0,0,0,43085,42952.66015625,-132.33984375,-0.00307159901938029,0.00307159901938029
"409",1,1,5,1,9,2016,0,0,0,0,52298,55939.97265625,3641.97265625,0.069638851509618,0.069638851509618
"410",5,1,4,7,9,2016,0,0,0,0,59802,57499.20703125,-2302.79296875,-0.0385069557665296,0.0385069557665296
"416",11,2,5,15,9,2016,0,0,0,0,45993,46532.6640625,539.6640625,0.0117336129954558,0.0117336129954558
"423",18,4,2,26,9,2016,0,0,0,0,48598,50620.828125,2022.828125,0.0416236907897444,0.0416236907897444
"429",2,1,3,4,10,2016,0,0,0,0,61977,61677.68359375,-299.31640625,-0.00482947555141423,0.00482947555141423
"430",3,1,4,5,10,2016,0,0,0,0,57079,58035.65234375,956.65234375,0.0167601454781969,0.0167601454781969
"434",7,2,3,11,10,2016,0,0,0,0,55273,58702.32421875,3429.32421875,0.0620433886119805,0.0620433886119805
"436",9,2,5,13,10,2016,0,0,0,0,44754,45396.65234375,642.65234375,0.0143596626837825,0.0143596626837825
"448",21,5,2,31,10,2016,0,0,0,0,47241,48289.34375,1048.34375,0.0221913962447874,0.0221913962447874
"452",4,1,6,4,11,2016,0,0,0,0,42776,39888.875,-2887.125,-0.0674940387132972,0.0674940387132972
"462",14,3,6,18,11,2016,0,0,0,0,41242,39262.546875,-1979.453125,-0.0479960507492362,0.0479960507492362
"463",15,4,2,21,11,2016,0,0,0,0,52439,49991.53125,-2447.46875,-0.0466726815919449,0.0466726815919449
"465",19,5,3,29,11,2016,0,0,0,0,57212,56521.0390625,-690.9609375,-0.0120772029906313,0.0120772029906313
"470",4,2,3,6,12,2016,0,0,0,0,62481,62328.93359375,-152.06640625,-0.00243380237592228,0.00243380237592228
"475",9,3,3,13,12,2016,0,0,0,0,57484,57824.9453125,340.9453125,0.00593113409818384,0.00593113409818384
"476",10,3,4,14,12,2016,0,0,0,0,48720,52908.2109375,4188.2109375,0.0859649207204433,0.0859649207204433
"480",14,4,3,20,12,2016,0,0,0,0,55978,55267.0546875,-710.9453125,-0.0127004414680767,0.0127004414680767
"493",10,2,6,13,1,2017,0,0,0,0,42778,39448.0234375,-3329.9765625,-0.0778432035742671,0.0778432035742671
"495",12,3,3,17,1,2017,0,0,0,0,53876,55041.1171875,1165.1171875,0.0216259036955231,0.0216259036955231
"496",13,3,4,18,1,2017,0,0,0,0,51298,50178.90234375,-1119.09765625,-0.0218156196391672,0.0218156196391672
"506",1,1,4,1,2,2017,0,0,0,0,54303,57579.71484375,3276.71484375,0.06034132264792,0.06034132264792
"510",5,2,3,7,2,2017,0,0,0,0,54109,56231.00390625,2122.00390625,0.0392172079737197,0.0392172079737197
"517",12,3,5,16,2,2017,0,0,0,0,44842,45151.1953125,309.1953125,0.00689521681682351,0.00689521681682351
"527",2,1,5,2,3,2017,0,0,0,0,48935,52016.22265625,3081.22265625,0.0629656208490855,0.0629656208490855
"532",7,2,5,9,3,2017,0,0,0,0,44374,40745.05078125,-3628.94921875,-0.0817809802756118,0.0817809802756118
"537",13,3,6,17,3,2017,0,0,0,0,39071,39454.3515625,383.3515625,0.00981166498169998,0.00981166498169998
"539",15,4,3,21,3,2017,0,0,0,0,54809,53519.3984375,-1289.6015625,-0.023529010974475,0.023529010974475
"541",17,4,5,23,3,2017,0,0,0,0,42531,42380.46484375,-150.53515625,-0.0035394219804378,0.0035394219804378
"545",21,5,4,29,3,2017,0,0,0,0,46659,50819.44921875,4160.44921875,0.0891671321449238,0.0891671321449238
"551",4,1,5,6,4,2017,0,0,0,0,48646,45643.171875,-3002.828125,-0.06172816110266,0.06172816110266
"553",6,2,2,10,4,2017,0,0,0,0,50844,53487.01171875,2643.01171875,0.0519827652967902,0.0519827652967902
"554",7,2,3,11,4,2017,0,0,0,0,54752,57285.68359375,2533.68359375,0.0462756354790693,0.0462756354790693
"556",9,2,5,13,4,2017,0,0,0,0,42910,42672.62890625,-237.37109375,-0.00553183625611746,0.00553183625611746
"560",13,3,4,19,4,2017,0,0,0,0,49483,49956.55859375,473.55859375,0.0095701269880565,0.0095701269880565
"562",15,3,6,21,4,2017,0,0,0,0,37289,36110.4453125,-1178.5546875,-0.0316059612083993,0.0316059612083993
"567",20,4,6,28,4,2017,0,0,0,0,36580,37982.2421875,1402.2421875,0.0383335753827228,0.0383335753827228
"571",4,1,5,4,5,2017,0,0,0,0,49391,47521.37890625,-1869.62109375,-0.0378534772276326,0.0378534772276326
"574",7,2,3,9,5,2017,0,0,0,0,61018,57657.01171875,-3360.98828125,-0.0550819148652857,0.0550819148652857
"581",14,3,5,18,5,2017,0,0,0,0,41979,42871.16796875,892.16796875,0.0212527208544749,0.0212527208544749
"585",18,4,4,24,5,2017,0,0,0,0,50626,52337.33984375,1711.33984375,0.0338035761022005,0.0338035761022005
"592",5,1,4,7,6,2017,0,0,0,0,51600,55163.66015625,3563.66015625,0.0690631813226744,0.0690631813226744
"594",7,1,6,9,6,2017,0,0,0,0,38472,39620.4375,1148.4375,0.0298512554585153,0.0298512554585153
"605",18,4,2,26,6,2017,0,0,0,0,54365,51387,-2978,-0.054777890186701,0.054777890186701
"622",15,4,2,24,7,2017,0,0,0,0,52767,52493.796875,-273.203125,-0.00517753757083025,0.00517753757083025
"630",3,1,5,3,8,2017,0,0,0,0,53139,50198.80078125,-2940.19921875,-0.0553303452972393,0.0553303452972393
"631",4,1,6,4,8,2017,0,0,0,0,40556,40846.375,290.375,0.00715985304270638,0.00715985304270638
"637",10,3,2,14,8,2017,0,0,0,0,49684,52941.05078125,3257.05078125,0.0655553252807745,0.0655553252807745
"640",13,3,5,17,8,2017,0,0,0,0,43202,45261.2578125,2059.2578125,0.0476657981690662,0.0476657981690662
"650",23,5,5,31,8,2017,0,0,0,0,42849,42385.47265625,-463.52734375,-0.010817693382576,0.010817693382576
"651",3,1,4,6,9,2017,0,0,0,0,65104,62643.38671875,-2460.61328125,-0.0377951167554989,0.0377951167554989
"655",7,2,3,12,9,2017,0,0,0,0,65453,61033.18359375,-4419.81640625,-0.0675265672505462,0.0675265672505462
"657",9,2,5,14,9,2017,0,0,0,0,46996,46825.08984375,-170.91015625,-0.00363669580921781,0.00363669580921781
"658",10,2,6,15,9,2017,0,0,0,0,43389,39772.234375,-3616.765625,-0.0833567407637881,0.0833567407637881
"667",19,4,5,28,9,2017,0,0,0,0,45329,44621.41015625,-707.58984375,-0.0156100916355975,0.0156100916355975
"668",20,4,6,29,9,2017,0,0,0,0,40325,40229.34375,-95.65625,-0.00237213267203968,0.00237213267203968
"669",1,1,2,2,10,2017,0,0,0,0,56329,57096.66796875,767.66796875,0.0136282903788457,0.0136282903788457
"672",4,1,5,5,10,2017,0,0,0,0,48990,48363.4921875,-626.5078125,-0.0127884836191059,0.0127884836191059
"673",5,1,6,6,10,2017,0,0,0,0,41262,40598.328125,-663.671875,-0.0160843360719306,0.0160843360719306
"677",9,2,5,12,10,2017,0,0,0,0,46104,46123.44921875,19.44921875,0.000421855343354156,0.000421855343354156
"678",10,2,6,13,10,2017,0,0,0,0,38024,39136.453125,1112.453125,0.0292566043814433,0.0292566043814433
"681",13,3,4,18,10,2017,0,0,0,0,51822,51752.33984375,-69.66015625,-0.00134421975705299,0.00134421975705299
"682",14,3,5,19,10,2017,0,0,0,0,45655,44882.89453125,-772.10546875,-0.0169117395411236,0.0169117395411236
"685",17,4,3,24,10,2017,0,0,0,0,59073,57023.9296875,-2049.0703125,-0.0346870873749429,0.0346870873749429
"686",18,4,4,25,10,2017,0,0,0,0,51074,52801.01171875,1727.01171875,0.0338139115548028,0.0338139115548028
"695",5,2,3,7,11,2017,0,0,0,0,61256,60879.28515625,-376.71484375,-0.00614984399487397,0.00614984399487397
"696",6,2,4,8,11,2017,0,0,0,0,51451,54177.24609375,2726.24609375,0.0529872323910128,0.0529872323910128
"699",9,3,2,13,11,2017,0,0,0,0,52976,52951.51953125,-24.48046875,-0.000462104891837813,0.000462104891837813
"702",12,3,5,16,11,2017,0,0,0,0,47735,47709.6171875,-25.3828125,-0.000531744265214203,0.000531744265214203
"710",2,1,2,4,12,2017,0,0,0,0,62031,59558.30859375,-2472.69140625,-0.0398621883614644,0.0398621883614644
"712",4,1,4,6,12,2017,0,0,0,0,56988,59854.87109375,2866.87109375,0.0503065749587632,0.0503065749587632
"722",14,3,4,20,12,2017,0,0,0,0,49133,49718.27734375,585.27734375,0.01191210273645,0.01191210273645
"728",6,2,3,9,1,2018,0,0,0,0,58969,58917.40234375,-51.59765625,-0.000874996290423782,0.000874996290423782
"733",11,3,3,16,1,2018,0,0,0,0,59356,56223.3046875,-3132.6953125,-0.0527780731939484,0.0527780731939484
"735",13,3,5,18,1,2018,0,0,0,0,45365,44620.6484375,-744.3515625,-0.016408058249752,0.016408058249752
"738",16,4,3,23,1,2018,0,0,0,0,55416,54991.5859375,-424.4140625,-0.00765869175869785,0.00765869175869785
"741",19,4,6,26,1,2018,0,0,0,0,41254,37584.1953125,-3669.8046875,-0.0889563360522616,0.0889563360522616
"742",20,5,2,29,1,2018,0,0,0,0,53321,49480.984375,-3840.015625,-0.0720169468877178,0.0720169468877178
"743",21,5,3,30,1,2018,0,0,0,0,56959,56340.1015625,-618.8984375,-0.0108656829912744,0.0108656829912744
"745",1,1,5,1,2,2018,0,0,0,0,52999,52038.48828125,-960.51171875,-0.0181232045651805,0.0181232045651805
"751",8,2,2,12,2,2018,0,0,0,0,56798,52035.50390625,-4762.49609375,-0.0838497146686503,0.0838497146686503
"756",13,3,2,19,2,2018,0,0,0,0,48303,48746.765625,443.765625,0.00918712347059189,0.00918712347059189
"760",18,4,2,26,2,2018,0,0,0,0,52926,48972,-3954,-0.0747080829837887,0.0747080829837887
