"","WORKDAY","MONTHWEEK","WEEKDAY","MONTHDAY","MONTH","YEAR","BEFVAC","AFTVAC","BEFCHR","AFTCHR","WHSLINES","forecastlines","delta","error_rate","error_rate_abs"
"4",6,1,5,8,1,2015,0,0,0,0,54014,48583.12890625,-5430.87109375,-0.100545619538453,0.100545619538453
"5",7,1,6,9,1,2015,0,0,0,0,41310,42062.55078125,752.55078125,0.0182171576192205,0.0182171576192205
"9",11,2,5,15,1,2015,0,0,0,0,45576,43094.75390625,-2481.24609375,-0.0544419451849658,0.0544419451849658
"10",12,2,6,16,1,2015,0,0,0,0,37190,38306.890625,1116.890625,0.030032014654477,0.030032014654477
"17",19,4,3,27,1,2015,0,0,0,0,36232,49586.53515625,13354.53515625,0.368583990843729,0.368583990843729
"23",3,1,4,4,2,2015,0,0,0,0,53050,48064.40234375,-4985.59765625,-0.0939792206644675,0.0939792206644675
"24",4,1,5,5,2,2015,0,0,0,0,44305,38380.3515625,-5924.6484375,-0.133724149362374,0.133724149362374
"25",5,1,6,6,2,2015,0,0,0,0,36405,36978.01953125,573.01953125,0.0157401327084192,0.0157401327084192
"30",10,2,6,13,2,2015,0,0,0,0,37844,37741.265625,-102.734375,-0.00271468066272064,0.00271468066272064
"31",11,3,2,16,2,2015,0,0,0,0,39433,43011.1953125,3578.1953125,0.0907411384500292,0.0907411384500292
"50",10,2,6,13,3,2015,0,0,0,0,38261,38539.703125,278.703125,0.00728426138888163,0.00728426138888163
"53",13,3,4,18,3,2015,0,0,0,0,48092,48164.25,72.25,0.00150232886966647,0.00150232886966647
"64",2,1,5,2,4,2015,0,0,0,0,46205,45678.62109375,-526.37890625,-0.0113922498917866,0.0113922498917866
"99",15,3,5,21,5,2015,0,0,0,0,42546,42293.27734375,-252.72265625,-0.00593998627955624,0.00593998627955624
"105",3,1,4,3,6,2015,0,0,0,0,57088,55500.65234375,-1587.34765625,-0.0278052770503433,0.0278052770503433
"107",5,1,6,5,6,2015,0,0,0,0,36913,38589.03515625,1676.03515625,0.0454050105992469,0.0454050105992469
"108",6,2,2,8,6,2015,0,0,0,0,50651,52719.296875,2068.296875,0.0408342752364218,0.0408342752364218
"114",12,3,3,16,6,2015,0,0,0,0,54537,53877.078125,-659.921875,-0.0121004432770413,0.0121004432770413
"118",16,4,2,22,6,2015,0,0,0,0,47656,49902.74609375,2246.74609375,0.047145083384044,0.047145083384044
"127",6,2,4,8,7,2015,0,0,0,0,55142,54036.71875,-1105.28125,-0.0200442720612238,0.0200442720612238
"136",15,4,3,21,7,2015,0,0,0,0,53667,54713.87890625,1046.87890625,0.0195069392037938,0.0195069392037938
"139",18,4,6,24,7,2015,0,0,0,0,41328,38912.6484375,-2415.3515625,-0.0584434659915796,0.0584434659915796
"145",1,1,2,3,8,2015,0,0,0,0,55536,56731.90234375,1195.90234375,0.0215338220928767,0.0215338220928767
"147",3,1,4,5,8,2015,0,0,0,0,55558,57054.24609375,1496.24609375,0.0269312447127326,0.0269312447127326
"154",10,2,6,14,8,2015,0,0,0,0,38475,39337.6953125,862.6953125,0.0224222303443795,0.0224222303443795
"155",11,3,2,17,8,2015,0,0,0,0,48631,51679.8671875,3048.8671875,0.0626939028089079,0.0626939028089079
"183",21,5,3,29,9,2015,0,0,0,0,52387,54493.95703125,2106.95703125,0.0402190816662531,0.0402190816662531
"192",8,2,2,12,10,2015,0,0,0,0,46597,51929.7890625,5332.7890625,0.114444901227547,0.114444901227547
"193",9,2,3,13,10,2015,0,0,0,0,54197,56242.30078125,2045.30078125,0.0377382656097201,0.0377382656097201
"195",11,2,5,15,10,2015,0,0,0,0,46038,45869.51953125,-168.48046875,-0.00365959574156132,0.00365959574156132
"197",13,3,2,19,10,2015,0,0,0,0,49642,50740.32421875,1098.32421875,0.0221248986493292,0.0221248986493292
"201",17,3,6,23,10,2015,0,0,0,0,37164,39575.20703125,2411.20703125,0.0648801805847056,0.0648801805847056
