"","WORKDAY","MONTHWEEK","WEEKDAY","MONTHDAY","MONTH","YEAR","BEFVAC","AFTVAC","BEFCHR","AFTCHR","WHSLINES","forecastlines","delta","error_rate","error_rate_abs"
"5",7,1,6,9,1,2015,0,0,0,0,26195,21786.107421875,-4408.892578125,-0.168310462993892,0.168310462993892
"8",10,2,4,14,1,2015,0,0,0,0,26135,26329.705078125,194.705078125,0.00744997429213698,0.00744997429213698
"10",12,2,6,16,1,2015,0,0,0,0,21096,20654.90625,-441.09375,-0.0209088808304892,0.0209088808304892
"18",20,4,4,28,1,2015,0,0,0,0,23890,25208.61328125,1318.61328125,0.0551951980431143,0.0551951980431143
"20",22,4,6,30,1,2015,0,0,0,0,20696,19479.1640625,-1216.8359375,-0.0587957062959026,0.0587957062959026
"23",3,1,4,4,2,2015,0,0,0,0,29818,31348.369140625,1530.369140625,0.0513236682750352,0.0513236682750352
"34",19,4,5,26,2,2015,0,0,0,0,23094,22135.265625,-958.734375,-0.0415144355676799,0.0415144355676799
"46",12,3,3,17,3,2015,0,0,0,0,28044,27883.220703125,-160.779296875,-0.00573310857491799,0.00573310857491799
"50",16,4,2,23,3,2015,0,0,0,0,25641,27260.955078125,1619.955078125,0.0631783112251862,0.0631783112251862
"53",19,4,5,26,3,2015,0,0,0,0,21515,22135.265625,620.265625,0.0288294503834534,0.0288294503834534
"54",20,4,6,27,3,2015,0,0,0,0,21268,19462.443359375,-1805.556640625,-0.0848954598751646,0.0848954598751646
"60",4,2,2,6,4,2015,0,0,0,0,29798,32556.306640625,2758.306640625,0.0925668380637962,0.0925668380637962
"64",8,2,6,10,4,2015,0,0,0,0,19616,20459.7890625,843.7890625,0.043015347802814,0.043015347802814
"66",10,3,3,14,4,2015,0,0,0,0,28546,28085.681640625,-460.318359375,-0.0161254942680235,0.0161254942680235
"68",12,3,5,16,4,2015,0,0,0,0,24796,24345.79296875,-450.20703125,-0.0181564377823036,0.0181564377823036
"72",16,4,4,22,4,2015,0,0,0,0,26928,27666.033203125,738.033203125,0.0274076501457591,0.0274076501457591
"73",17,4,5,23,4,2015,0,0,0,0,23540,23930.40234375,390.40234375,0.0165846365229397,0.0165846365229397
"74",19,5,2,27,4,2015,0,0,0,0,23816,24919.86328125,1103.86328125,0.0463496507075076,0.0463496507075076
"77",22,5,5,30,4,2015,0,0,0,0,22064,22354.6796875,290.6796875,0.0131743875770486,0.0131743875770486
"80",3,1,3,5,5,2015,0,0,0,0,35335,37308.859375,1973.859375,0.0558613096080374,0.0558613096080374
"85",8,2,3,12,5,2015,0,0,0,0,29575,28549.7890625,-1025.2109375,-0.0346647823330516,0.0346647823330516
"106",11,3,2,15,6,2015,0,0,0,0,26418,27319.671875,901.671875,0.0341309665758195,0.0341309665758195
"110",15,3,6,19,6,2015,0,0,0,0,23546,22215.294921875,-1330.705078125,-0.056515122658838,0.056515122658838
"119",2,1,5,2,7,2015,0,0,0,0,33699,35039.734375,1340.734375,0.0397855834001009,0.0397855834001009
"120",6,2,4,8,7,2015,0,0,0,0,34384,31793.689453125,-2590.310546875,-0.0753347646252617,0.0753347646252617
"124",10,3,3,14,7,2015,0,0,0,0,31915,31315.8828125,-599.1171875,-0.0187722759674134,0.0187722759674134
"130",16,4,4,22,7,2015,0,0,0,0,30682,28992.171875,-1689.828125,-0.0550755532559807,0.0550755532559807
"132",18,4,6,24,7,2015,0,0,0,0,21107,21630.685546875,523.685546875,0.0248109890972189,0.0248109890972189
"137",23,5,6,31,7,2015,0,0,0,0,24824,22477.755859375,-2346.244140625,-0.0945151522971721,0.0945151522971721
"138",1,1,2,3,8,2015,0,0,0,0,33323,34806.4140625,1483.4140625,0.0445162219037902,0.0445162219037902
"139",2,1,3,4,8,2015,0,0,0,0,39361,38809.91796875,-551.08203125,-0.0140007121579736,0.0140007121579736
"144",7,2,3,11,8,2015,0,0,0,0,32744,32943.74609375,199.74609375,0.00610023496671146,0.00610023496671146
"145",8,2,4,12,8,2015,0,0,0,0,29840,29880.9609375,40.9609375,0.0013726855730563,0.0013726855730563
"146",9,2,5,13,8,2015,0,0,0,0,25473,25871.14453125,398.14453125,0.0156300605052408,0.0156300605052408
"151",14,3,5,20,8,2015,0,0,0,0,29359,27034.97265625,-2324.02734375,-0.0791589408273443,0.0791589408273443
"152",15,3,6,21,8,2015,0,0,0,0,23808,23791.818359375,-16.181640625,-0.000679672405283938,0.000679672405283938
"159",1,1,3,1,9,2015,0,0,0,0,36204,37136.34765625,932.34765625,0.0257526145246382,0.0257526145246382
"162",7,2,4,9,9,2015,0,0,0,0,34429,31630.486328125,-2798.513671875,-0.0812836176442824,0.0812836176442824
"169",14,3,6,18,9,2015,0,0,0,0,24414,23838.576171875,-575.423828125,-0.0235694203377161,0.0235694203377161
"170",15,4,2,21,9,2015,0,0,0,0,30091,29388.8125,-702.1875,-0.0233354657538799,0.0233354657538799
"174",19,4,6,25,9,2015,0,0,0,0,22376,22835.724609375,459.724609375,0.0205454330253396,0.0205454330253396
"175",20,5,2,28,9,2015,0,0,0,0,25751,27583.1875,1832.1875,0.0711501495087569,0.0711501495087569
"183",6,1,5,8,10,2015,0,0,0,0,27894,28399.900390625,505.900390625,0.0181365308175593,0.0181365308175593
"185",8,2,2,12,10,2015,0,0,0,0,27712,28747.953125,1035.953125,0.0373828350534065,0.0373828350534065
"187",10,2,4,14,10,2015,0,0,0,0,29498,29505.296875,7.296875,0.000247368465658689,0.000247368465658689
"196",19,4,3,27,10,2015,0,0,0,0,29310,29110.5703125,-199.4296875,-0.00680415174002047,0.00680415174002047
"197",20,4,4,28,10,2015,0,0,0,0,28249,28135.2578125,-113.7421875,-0.00402641465184608,0.00402641465184608
"208",9,2,5,12,11,2015,0,0,0,0,24932,26390.79296875,1458.79296875,0.0585108683118081,0.0585108683118081
"213",14,3,5,19,11,2015,0,0,0,0,27587,26944.81640625,-642.18359375,-0.0232784860169645,0.0232784860169645
"220",3,1,5,3,12,2015,0,0,0,0,34158,31648.052734375,-2509.947265625,-0.073480510147696,0.073480510147696
"222",5,2,2,7,12,2015,0,0,0,0,35519,33449.35546875,-2069.64453125,-0.0582686599073735,0.0582686599073735
"229",12,3,4,16,12,2015,0,0,0,0,32595,30729.203125,-1865.796875,-0.057241812394539,0.057241812394539
"230",13,3,5,17,12,2015,0,0,0,0,28283,27029.26953125,-1253.73046875,-0.0443280581533076,0.0443280581533076
"241",10,2,5,14,1,2016,0,0,0,0,28856,26087.47265625,-2768.52734375,-0.095942866085043,0.095942866085043
"243",13,3,3,19,1,2016,0,0,0,0,32508,30676.58203125,-1831.41796875,-0.0563374544342931,0.0563374544342931
"247",17,4,2,25,1,2016,0,0,0,0,28836,27835.99609375,-1000.00390625,-0.0346790090945346,0.0346790090945346
"249",19,4,4,27,1,2016,0,0,0,0,27221,28416.73828125,1195.73828125,0.0439270519543735,0.0439270519543735
"253",2,1,3,2,2,2016,0,0,0,0,40301,41273.29296875,972.29296875,0.0241257777412471,0.0241257777412471
"259",8,2,4,10,2,2016,0,0,0,0,29290,29324.04296875,34.04296875,0.00116227274667122,0.00116227274667122
"260",9,2,5,11,2,2016,0,0,0,0,26216,25813.83984375,-402.16015625,-0.0153402561889686,0.0153402561889686
"271",20,4,6,26,2,2016,0,0,0,0,22374,21869.318359375,-504.681640625,-0.0225566121670242,0.0225566121670242
"274",2,1,4,2,3,2016,0,0,0,0,38388,39935.3984375,1547.3984375,0.0403094310070855,0.0403094310070855
"275",3,1,5,3,3,2016,0,0,0,0,33373,30718.169921875,-2654.830078125,-0.0795502375610524,0.0795502375610524
"277",5,2,2,7,3,2016,0,0,0,0,35603,33742.05859375,-1860.94140625,-0.0522692302966042,0.0522692302966042
"278",6,2,3,8,3,2016,0,0,0,0,36464,34139.37109375,-2324.62890625,-0.0637513412201075,0.0637513412201075
"280",8,2,5,10,3,2016,0,0,0,0,26891,26566.73046875,-324.26953125,-0.0120586639117177,0.0120586639117177
"283",11,3,3,15,3,2016,0,0,0,0,30210,30131.85546875,-78.14453125,-0.00258671073320093,0.00258671073320093
"288",16,4,3,22,3,2016,0,0,0,0,30917,30009.66796875,-907.33203125,-0.0293473503654947,0.0293473503654947
"290",18,4,5,24,3,2016,0,0,0,0,22719,25116,2397,0.105506404331177,0.105506404331177
"296",1,1,6,1,4,2016,0,0,0,0,30999,33182.21484375,2183.21484375,0.0704285571711991,0.0704285571711991
"297",2,1,2,4,4,2016,0,0,0,0,39559,39392.16015625,-166.83984375,-0.00421749396471094,0.00421749396471094
"300",5,1,5,7,4,2016,0,0,0,0,28223,29433.06640625,1210.06640625,0.0428751871257485,0.0428751871257485
"303",8,2,3,12,4,2016,0,0,0,0,30913,31219.55078125,306.55078125,0.00991656523954323,0.00991656523954323
"304",9,2,4,13,4,2016,0,0,0,0,29548,28901.30859375,-646.69140625,-0.0218861312525382,0.0218861312525382
"309",14,3,4,20,4,2016,0,0,0,0,32292,29741.38671875,-2550.61328125,-0.0789859185324539,0.0789859185324539
"319",3,1,4,4,5,2016,0,0,0,0,36242,37475.4375,1233.4375,0.0340333728822913,0.0340333728822913
"320",4,1,5,5,5,2016,0,0,0,0,32781,30353.03125,-2427.96875,-0.0740663417833501,0.0740663417833501
"327",12,3,3,17,5,2016,0,0,0,0,33138,32128.26171875,-1009.73828125,-0.0304707067792263,0.0304707067792263
"329",14,3,5,19,5,2016,0,0,0,0,27133,26574.07421875,-558.92578125,-0.0205994833321048,0.0205994833321048
"334",19,4,5,26,5,2016,0,0,0,0,22935,24950.4140625,2015.4140625,0.0878750408763898,0.0878750408763898
"341",7,2,5,9,6,2016,0,0,0,0,26942,28300.77734375,1358.77734375,0.0504334252746641,0.0504334252746641
"344",10,3,3,14,6,2016,0,0,0,0,29705,30758.02734375,1053.02734375,0.0354494981905403,0.0354494981905403
"345",11,3,4,15,6,2016,0,0,0,0,29264,29642.63671875,378.63671875,0.0129386522262849,0.0129386522262849
"352",18,4,6,24,6,2016,0,0,0,0,21596,22186.857421875,590.857421875,0.0273595768602982,0.0273595768602982
"357",4,1,4,6,7,2016,0,0,0,0,37247,35647.94921875,-1599.05078125,-0.0429309952814992,0.0429309952814992
"360",7,2,2,11,7,2016,0,0,0,0,30920,31998.6953125,1078.6953125,0.0348866530562743,0.0348866530562743
"361",8,2,3,12,7,2016,0,0,0,0,30893,32866.15234375,1973.15234375,0.0638705319570777,0.0638705319570777
"370",17,4,2,25,7,2016,0,0,0,0,27593,28441.03515625,848.03515625,0.0307337062389012,0.0307337062389012
"371",18,4,3,26,7,2016,0,0,0,0,31300,30244.70703125,-1055.29296875,-0.0337154303115016,0.0337154303115016
"380",6,2,2,8,8,2016,0,0,0,0,34538,34242.1328125,-295.8671875,-0.00856642502461057,0.00856642502461057
"382",8,2,4,10,8,2016,0,0,0,0,32115,30739.43359375,-1375.56640625,-0.0428325208236027,0.0428325208236027
