"","WORKDAY","MONTHWEEK","WEEKDAY","MONTHDAY","MONTH","YEAR","BEFVAC","AFTVAC","BEFCHR","AFTCHR","WHSLINES","forecastlines","delta","error_rate","error_rate_abs"
"1",2,1,6,2,1,2015,0,0,0,0,29694,37082.87109375,7388.87109375,0.248833807966256,0.248833807966256
"6",7,1,6,9,1,2015,0,0,0,0,23329,24765.337890625,1436.337890625,0.0615687723702259,0.0615687723702259
"9",10,2,4,14,1,2015,0,0,0,0,27868,27789.583984375,-78.416015625,-0.002813837219212,0.002813837219212
"10",11,2,5,15,1,2015,0,0,0,0,23149,23314.638671875,165.638671875,0.00715532730895503,0.00715532730895503
"15",16,3,5,22,1,2015,0,0,0,0,20537,20948.4375,411.4375,0.0200339630910065,0.0200339630910065
"17",18,4,2,26,1,2015,0,0,0,0,23601,24495.822265625,894.822265625,0.0379145911455023,0.0379145911455023
"25",4,1,5,5,2,2015,0,0,0,0,24580,27010.544921875,2430.544921875,0.0988830318093979,0.0988830318093979
"34",13,3,4,18,2,2015,0,0,0,0,27422,27168.216796875,-253.783203125,-0.00925472989296915,0.00925472989296915
"35",14,3,5,19,2,2015,0,0,0,0,20876,21352.265625,476.265625,0.0228140268729642,0.0228140268729642
"36",15,3,6,20,2,2015,0,0,0,0,18665,20171.806640625,1506.806640625,0.0807289922649344,0.0807289922649344
"63",1,1,4,1,4,2015,0,0,0,0,37476,38641.05859375,1165.05859375,0.0310881255670296,0.0310881255670296
"89",5,1,5,7,5,2015,0,0,0,0,27420,26254.587890625,-1165.412109375,-0.0425022651121444,0.0425022651121444
"92",8,2,3,12,5,2015,0,0,0,0,28584,29142.201171875,558.201171875,0.0195284484982858,0.0195284484982858
"98",14,3,4,20,5,2015,0,0,0,0,28842,27332.708984375,-1509.291015625,-0.0523296240075238,0.0523296240075238
"99",15,3,5,21,5,2015,0,0,0,0,20860,21119.1015625,259.1015625,0.0124209761505273,0.0124209761505273
"101",20,4,5,28,5,2015,0,0,0,0,24052,21515.0390625,-2536.9609375,-0.105478169694828,0.105478169694828
"103",1,1,2,1,6,2015,0,0,0,0,37814,37836.2578125,22.2578125,0.00058861301369863,0.00058861301369863
"104",2,1,3,2,6,2015,0,0,0,0,43091,40243.1640625,-2847.8359375,-0.0660888802186071,0.0660888802186071
"105",3,1,4,3,6,2015,0,0,0,0,37893,33301.0234375,-4591.9765625,-0.121182713495896,0.121182713495896
"106",4,1,5,4,6,2015,0,0,0,0,24780,26260.232421875,1480.232421875,0.0597349645631558,0.0597349645631558
"108",6,2,2,8,6,2015,0,0,0,0,28733,29593.46875,860.46875,0.0299470556502976,0.0299470556502976
"120",19,4,5,25,6,2015,0,0,0,0,22828,21494.6484375,-1333.3515625,-0.058408601826704,0.058408601826704
