"","WORKDAY","MONTHWEEK","WEEKDAY","MONTHDAY","MONTH","YEAR","BEFVAC","AFTVAC","BEFCHR","AFTCHR","WHSLINES","forecastlines","delta","error_rate","error_rate_abs"
"1",2,1,6,2,1,2015,0,0,0,0,40990,49297.94140625,8307.94140625,0.202682151896804,0.202682151896804
"4",5,1,4,7,1,2015,0,0,0,0,55027,55722.7421875,695.7421875,0.0126436510712923,0.0126436510712923
"5",6,1,5,8,1,2015,0,0,0,0,47363,45249.76953125,-2113.23046875,-0.0446177494827186,0.0446177494827186
"6",7,1,6,9,1,2015,0,0,0,0,38477,37870.17578125,-606.82421875,-0.0157710897094368,0.0157710897094368
"11",12,2,6,16,1,2015,0,0,0,0,34427,35244.91015625,817.91015625,0.0237578109114939,0.0237578109114939
"16",17,3,6,23,1,2015,0,0,0,0,33063,34320.2578125,1257.2578125,0.0380261262589602,0.0380261262589602
"18",19,4,3,27,1,2015,0,0,0,0,47095,48647.70703125,1552.70703125,0.0329696789733517,0.0329696789733517
"26",5,1,6,6,2,2015,0,0,0,0,36759,34246.328125,-2512.671875,-0.0683552837400365,0.0683552837400365
"30",9,2,5,12,2,2015,0,0,0,0,39765,39166.1953125,-598.8046875,-0.0150585863824972,0.0150585863824972
"34",13,3,4,18,2,2015,0,0,0,0,46029,46953.203125,924.203125,0.0200787139629364,0.0200787139629364
"40",19,4,5,26,2,2015,0,0,0,0,37167,37373.140625,206.140625,0.0055463347862351,0.0055463347862351
"42",1,1,2,2,3,2015,0,0,0,0,52897,45936.5703125,-6960.4296875,-0.131584583010379,0.131584583010379
"59",18,4,4,25,3,2015,0,0,0,0,41858,44033.1953125,2175.1953125,0.0519660593554398,0.0519660593554398
"61",20,4,6,27,3,2015,0,0,0,0,34945,33319.41796875,-1625.58203125,-0.046518301080269,0.046518301080269
"62",21,5,2,30,3,2015,0,0,0,0,38657,41462.76171875,2805.76171875,0.0725809483081977,0.0725809483081977
"76",13,3,6,17,4,2015,0,0,0,0,35253,35529.9921875,276.9921875,0.00785726569369983,0.00785726569369983
"78",15,4,3,21,4,2015,0,0,0,0,53014,51612.62890625,-1401.37109375,-0.0264339814718754,0.0264339814718754
"81",18,4,6,24,4,2015,0,0,0,0,33534,35898.51953125,2364.51953125,0.0705111090609531,0.0705111090609531
"95",10,2,5,14,5,2015,0,0,0,0,43231,41109.33984375,-2121.66015625,-0.049077286119914,0.049077286119914
"97",12,3,2,18,5,2015,0,0,0,0,52185,48689.18359375,-3495.81640625,-0.0669889126425218,0.0669889126425218
"104",2,1,3,2,6,2015,0,0,0,0,66769,65648.1796875,-1120.8203125,-0.0167865373526637,0.0167865373526637
"118",16,4,2,22,6,2015,0,0,0,0,47019,46216.84375,-802.15625,-0.0170602575554563,0.0170602575554563
"121",19,4,5,25,6,2015,0,0,0,0,41783,40518.71484375,-1264.28515625,-0.0302583624021731,0.0302583624021731
"127",6,2,4,8,7,2015,0,0,0,0,52996,52808.4140625,-187.5859375,-0.00353962445278889,0.00353962445278889
"133",12,3,5,16,7,2015,0,0,0,0,42735,43519.18359375,784.18359375,0.0183499144436644,0.0183499144436644
"136",15,4,3,21,7,2015,0,0,0,0,57634,54685.44140625,-2948.55859375,-0.051160054720304,0.051160054720304
"141",20,5,3,28,7,2015,0,0,0,0,52588,52087.16015625,-500.83984375,-0.0095238427730661,0.0095238427730661
"144",23,5,6,31,7,2015,0,0,0,0,38922,38934.53515625,12.53515625,0.000322058379579672,0.000322058379579672
