"","WORKDAY","MONTHWEEK","WEEKDAY","MONTHDAY","MONTH","YEAR","BEFVAC","AFTVAC","BEFCHR","AFTCHR","WHSLINES","forecastlines","delta","error_rate","error_rate_abs"
"1",2,1,6,2,1,2015,0,0,0,0,29694,36665.5390625,6971.5390625,0.234779385145147,0.234779385145147
"6",7,1,6,9,1,2015,0,0,0,0,23329,23084.03125,-244.96875,-0.0105006108277251,0.0105006108277251
"9",10,2,4,14,1,2015,0,0,0,0,27868,28084.2265625,216.2265625,0.00775895516362853,0.00775895516362853
"10",11,2,5,15,1,2015,0,0,0,0,23149,23217.814453125,68.814453125,0.00297267498056072,0.00297267498056072
"15",16,3,5,22,1,2015,0,0,0,0,20537,21408.986328125,871.986328125,0.0424592846143546,0.0424592846143546
"17",18,4,2,26,1,2015,0,0,0,0,23601,24490.263671875,889.263671875,0.0376790674918436,0.0376790674918436
"25",4,1,5,5,2,2015,0,0,0,0,24580,26252.861328125,1672.861328125,0.0680578245779089,0.0680578245779089
"35",14,3,5,19,2,2015,0,0,0,0,20876,21704.025390625,828.025390625,0.0396639869048189,0.0396639869048189
"36",15,3,6,20,2,2015,0,0,0,0,18665,19922.205078125,1257.205078125,0.0673562859965176,0.0673562859965176
"37",16,4,2,23,2,2015,0,0,0,0,23453,24446.826171875,993.826171875,0.0423752258506374,0.0423752258506374
"41",20,4,6,27,2,2015,0,0,0,0,22097,19922.205078125,-2174.794921875,-0.0984203702708513,0.0984203702708513
"75",13,3,6,17,4,2015,0,0,0,0,21803,22083.9921875,280.9921875,0.0128877763381186,0.0128877763381186
"85",1,1,6,1,5,2015,0,0,0,0,32744,32746.455078125,2.455078125,7.4977953976301e-05,7.4977953976301e-05
"89",5,1,5,7,5,2015,0,0,0,0,27420,25582.861328125,-1837.138671875,-0.0669999515636397,0.0669999515636397
"90",6,1,6,8,5,2015,0,0,0,0,23020,22602.537109375,-417.462890625,-0.0181347910784101,0.0181347910784101
"98",14,3,4,20,5,2015,0,0,0,0,28842,27547.3125,-1294.6875,-0.0448889640108176,0.0448889640108176
"99",15,3,5,21,5,2015,0,0,0,0,20860,21550.080078125,690.080078125,0.0330814994307287,0.0330814994307287
"105",3,1,4,3,6,2015,0,0,0,0,37893,34153.203125,-3739.796875,-0.0986936076584066,0.0986936076584066
"109",7,2,3,9,6,2015,0,0,0,0,30656,30619.275390625,-36.724609375,-0.00119795829119911,0.00119795829119911
"113",11,3,2,15,6,2015,0,0,0,0,27938,27039.2265625,-898.7734375,-0.032170285542988,0.032170285542988
"117",16,4,2,22,6,2015,0,0,0,0,23790,26470.068359375,2680.068359375,0.112655248397436,0.112655248397436
"122",21,5,2,29,6,2015,0,0,0,0,22717,25891.669921875,3174.669921875,0.139748642949113,0.139748642949113
"124",1,1,4,1,7,2015,0,0,0,0,38471,37332.07421875,-1138.92578125,-0.0296047875347664,0.0296047875347664
"127",7,2,5,9,7,2015,0,0,0,0,23003,23847.150390625,844.150390625,0.0366974042787897,0.0366974042787897
"129",9,3,2,13,7,2015,0,0,0,0,29198,28056.765625,-1141.234375,-0.0390860461332968,0.0390860461332968
"142",22,5,5,30,7,2015,0,0,0,0,21689,22763.322265625,1074.322265625,0.0495330474261146,0.0495330474261146
"148",5,1,6,7,8,2015,0,0,0,0,23845,22829.880859375,-1015.119140625,-0.0425715722635773,0.0425715722635773
