"","WORKDAY","MONTHWEEK","WEEKDAY","MONTHDAY","MONTH","YEAR","BEFVAC","AFTVAC","BEFCHR","AFTCHR","WHSLINES","forecastlines","delta","error_rate","error_rate_abs"
"1",2,1,6,2,1,2015,0,0,0,0,40990,48260.1328125,7270.1328125,0.177363571907782,0.177363571907782
"4",5,1,4,7,1,2015,0,0,0,0,55027,58136.4140625,3109.4140625,0.0565070613062678,0.0565070613062678
"5",6,1,5,8,1,2015,0,0,0,0,47363,43944.703125,-3418.296875,-0.0721723048582227,0.0721723048582227
"6",7,1,6,9,1,2015,0,0,0,0,38477,37564.84375,-912.15625,-0.0237065324739455,0.0237065324739455
"11",12,2,6,16,1,2015,0,0,0,0,34427,35319.78515625,892.78515625,0.0259327027115346,0.0259327027115346
"16",17,3,6,23,1,2015,0,0,0,0,33063,34759.16015625,1696.16015625,0.0513008546184557,0.0513008546184557
"18",19,4,3,27,1,2015,0,0,0,0,47095,48812.72265625,1717.72265625,0.0364735673903811,0.0364735673903811
"26",5,1,6,6,2,2015,0,0,0,0,36759,33721.328125,-3037.671875,-0.0826375003400528,0.0826375003400528
"30",9,2,5,12,2,2015,0,0,0,0,39765,39774.2734375,9.2734375,0.000233206022884446,0.000233206022884446
"34",13,3,4,18,2,2015,0,0,0,0,46029,46879.1953125,850.1953125,0.0184708621195333,0.0184708621195333
"47",6,2,2,9,3,2015,0,0,0,0,45626,46046.19140625,420.19140625,0.00920947280607548,0.00920947280607548
"62",21,5,2,30,3,2015,0,0,0,0,38657,41293.765625,2636.765625,0.0682092667563443,0.0682092667563443
"76",13,3,6,17,4,2015,0,0,0,0,35253,34949.70703125,-303.29296875,-0.0086033236533061,0.0086033236533061
"78",15,4,3,21,4,2015,0,0,0,0,53014,50668.16015625,-2345.83984375,-0.0442494405958803,0.0442494405958803
"81",18,4,6,24,4,2015,0,0,0,0,33534,35777.98828125,2243.98828125,0.06691680924584,0.06691680924584
"89",4,1,4,6,5,2015,0,0,0,0,53926,56696.4765625,2770.4765625,0.0513755250250343,0.0513755250250343
"92",7,2,2,11,5,2015,0,0,0,0,48155,50049.86328125,1894.86328125,0.0393492530630256,0.0393492530630256
"94",9,2,4,13,5,2015,0,0,0,0,50035,47803.5703125,-2231.4296875,-0.044597375587089,0.044597375587089
"102",21,4,6,29,5,2015,0,0,0,0,38723,36545.44921875,-2177.55078125,-0.0562340412997443,0.0562340412997443
"117",15,3,6,19,6,2015,0,0,0,0,35748,35544.35546875,-203.64453125,-0.00569666921925702,0.00569666921925702
"119",17,4,3,23,6,2015,0,0,0,0,54895,51043.50390625,-3851.49609375,-0.0701611457099918,0.0701611457099918
"126",2,1,5,2,7,2015,0,0,0,0,47876,54204.01953125,6328.01953125,0.132175192815816,0.132175192815816
"127",6,2,4,8,7,2015,0,0,0,0,52996,52821.98046875,-174.01953125,-0.00328363520360027,0.00328363520360027
"136",15,4,3,21,7,2015,0,0,0,0,57634,54274.41015625,-3359.58984375,-0.0582918042084533,0.0582918042084533
"139",18,4,6,24,7,2015,0,0,0,0,36988,38637.390625,1649.390625,0.0445925874607981,0.0445925874607981
"149",5,1,6,7,8,2015,0,0,0,0,41637,39632.66796875,-2004.33203125,-0.0481382431791436,0.0481382431791436
"157",13,3,4,19,8,2015,0,0,0,0,54569,50873.4140625,-3695.5859375,-0.067723175016951,0.067723175016951
"159",15,3,6,21,8,2015,0,0,0,0,38568,37586.296875,-981.703125,-0.0254538250622278,0.0254538250622278
"161",17,4,3,25,8,2015,0,0,0,0,55133,53412.64453125,-1720.35546875,-0.0312037340385976,0.0312037340385976
"166",1,1,3,1,9,2015,0,0,0,0,60261,58912.47265625,-1348.52734375,-0.0223781109465492,0.0223781109465492
"167",2,1,4,2,9,2015,0,0,0,0,64439,65475.1484375,1036.1484375,0.0160795238520151,0.0160795238520151
"168",3,1,5,3,9,2015,0,0,0,0,49727,53541.83203125,3814.83203125,0.0767155072948298,0.0767155072948298
"171",9,2,6,11,9,2015,0,0,0,0,43147,40412.46875,-2734.53125,-0.0633770887894871,0.0633770887894871
"174",12,3,4,16,9,2015,0,0,0,0,52649,51714.1953125,-934.8046875,-0.017755412021121,0.017755412021121
"175",13,3,5,17,9,2015,0,0,0,0,43726,45845.28125,2119.28125,0.0484673020628459,0.0484673020628459
"176",14,3,6,18,9,2015,0,0,0,0,38643,39477.546875,834.546875,0.0215963272779029,0.0215963272779029
"177",15,4,2,21,9,2015,0,0,0,0,54466,51494.4296875,-2971.5703125,-0.054558262264532,0.054558262264532
"185",1,1,5,1,10,2015,0,0,0,0,53353,48293.62890625,-5059.37109375,-0.0948282400942777,0.0948282400942777
"190",6,1,5,8,10,2015,0,0,0,0,43884,44701.08984375,817.08984375,0.018619310996035,0.018619310996035
"194",10,2,4,14,10,2015,0,0,0,0,50654,47880.8359375,-2773.1640625,-0.0547471880305603,0.0547471880305603
"200",16,3,5,22,10,2015,0,0,0,0,41642,43749.109375,2107.109375,0.0506005805436819,0.0506005805436819
"204",20,4,4,28,10,2015,0,0,0,0,48742,48182.7109375,-559.2890625,-0.0114744791452956,0.0114744791452956
"205",21,4,5,29,10,2015,0,0,0,0,42189,42132.296875,-56.703125,-0.00134402628647278,0.00134402628647278
"209",3,1,4,4,11,2015,0,0,0,0,56672,59096.4765625,2424.4765625,0.0427808540813806,0.0427808540813806
"210",4,1,5,5,11,2015,0,0,0,0,46064,48447.33203125,2383.33203125,0.0517395803935828,0.0517395803935828
"211",5,1,6,6,11,2015,0,0,0,0,41690,39450.94921875,-2239.05078125,-0.05370714275006,0.05370714275006
"217",11,3,2,16,11,2015,0,0,0,0,49598,49603.7265625,5.7265625,0.000115459544739707,0.000115459544739707
"225",1,1,3,1,12,2015,0,0,0,0,66808,63375.67578125,-3432.32421875,-0.0513759462751467,0.0513759462751467
"227",3,1,5,3,12,2015,0,0,0,0,54581,52533.94140625,-2047.05859375,-0.0375049668153753,0.0375049668153753
"228",4,1,6,4,12,2015,0,0,0,0,43219,41787.8984375,-1431.1015625,-0.0331127874892987,0.0331127874892987
"229",5,2,2,7,12,2015,0,0,0,0,55734,55337.48828125,-396.51171875,-0.00711435961441849,0.00711435961441849
"237",13,3,5,17,12,2015,0,0,0,0,43406,45469.34375,2063.34375,0.0475359109339723,0.0475359109339723
"238",14,3,6,18,12,2015,0,0,0,0,36627,38597.078125,1970.078125,0.0537875918038605,0.0537875918038605
"240",16,4,3,22,12,2015,0,0,0,0,52366,47303.73046875,-5062.26953125,-0.0966709225690333,0.0966709225690333
"247",6,1,6,8,1,2016,0,0,0,0,43564,41724.92578125,-1839.07421875,-0.0422154581477826,0.0422154581477826
"249",8,2,3,12,1,2016,0,0,0,0,58376,56444.46875,-1931.53125,-0.0330877629505276,0.0330877629505276
"254",13,3,3,19,1,2016,0,0,0,0,58868,55968.53125,-2899.46875,-0.0492537329279065,0.0492537329279065
"255",14,3,4,20,1,2016,0,0,0,0,48890,50701.1796875,1811.1796875,0.0370460152894252,0.0370460152894252
"262",21,4,6,29,1,2016,0,0,0,0,36980,35179.08203125,-1800.91796875,-0.0486997828217956,0.0486997828217956
"263",1,1,2,1,2,2016,0,0,0,0,56875,55656.76953125,-1218.23046875,-0.0214194368131868,0.0214194368131868
"265",3,1,4,3,2,2016,0,0,0,0,55032,57144.2109375,2112.2109375,0.0383815041703009,0.0383815041703009
"267",5,1,6,5,2,2016,0,0,0,0,40361,39121.48828125,-1239.51171875,-0.030710629537177,0.030710629537177
"268",6,2,2,8,2,2016,0,0,0,0,49332,52070.72265625,2738.72265625,0.0555161488739561,0.0555161488739561
"278",16,4,2,22,2,2016,0,0,0,0,48575,47587.2109375,-987.7890625,-0.0203353383942357,0.0203353383942357
"290",7,2,4,9,3,2016,0,0,0,0,50699,51470.65234375,771.65234375,0.0152202675348626,0.0152202675348626
"302",19,4,6,25,3,2016,0,0,0,0,29661,34419.98046875,4758.98046875,0.160445718915411,0.160445718915411
"306",23,5,5,31,3,2016,0,0,0,0,42630,40032.32421875,-2597.67578125,-0.0609353924759559,0.0609353924759559
"307",1,1,6,1,4,2016,0,0,0,0,46474,46951.703125,477.703125,0.0102789328441709,0.0102789328441709
"310",4,1,4,6,4,2016,0,0,0,0,55035,56521.2421875,1486.2421875,0.0270053999727446,0.0270053999727446
"313",7,2,2,11,4,2016,0,0,0,0,51367,52252.91015625,885.91015625,0.0172466789232387,0.0172466789232387
"318",12,3,2,18,4,2016,0,0,0,0,52858,51323.15234375,-1534.84765625,-0.0290371874881759,0.0290371874881759
"325",19,4,4,27,4,2016,0,0,0,0,46580,47440.95703125,860.95703125,0.0184834055656934,0.0184834055656934
"327",21,4,6,29,4,2016,0,0,0,0,35159,36458.33984375,1299.33984375,0.0369561092110128,0.0369561092110128
"330",3,1,4,4,5,2016,0,0,0,0,58550,62131.4765625,3581.4765625,0.0611695399231426,0.0611695399231426
"331",4,1,5,5,5,2016,0,0,0,0,44825,47625.3359375,2800.3359375,0.0624726366424986,0.0624726366424986
"336",9,2,5,12,5,2016,0,0,0,0,41803,41498.96484375,-304.03515625,-0.00727304634236777,0.00727304634236777
"339",12,3,3,17,5,2016,0,0,0,0,59398,56726.03125,-2671.96875,-0.0449841535068521,0.0449841535068521
