"","WORKDAY","MONTHWEEK","WEEKDAY","MONTHDAY","MONTH","YEAR","BEFVAC","AFTVAC","BEFCHR","AFTCHR","WHSLINES","forecastlines","delta","error_rate","error_rate_abs"
"1",2,1,6,2,1,2015,0,0,0,0,29694,33910.1640625,4216.1640625,0.141987070199367,0.141987070199367
"6",7,1,6,9,1,2015,0,0,0,0,23329,23971.31640625,642.31640625,0.0275329592460028,0.0275329592460028
"10",11,2,5,15,1,2015,0,0,0,0,23149,23015.69140625,-133.30859375,-0.00575871932912869,0.00575871932912869
"15",16,3,5,22,1,2015,0,0,0,0,20537,21163.45703125,626.45703125,0.030503823891026,0.030503823891026
"28",7,2,3,10,2,2015,0,0,0,0,29912,30366.26953125,454.26953125,0.0151868658481546,0.0151868658481546
"30",9,2,5,12,2,2015,0,0,0,0,21803,22958.30859375,1155.30859375,0.0529885150552676,0.0529885150552676
"33",12,3,3,17,2,2015,0,0,0,0,25188,29233.22265625,4045.22265625,0.160601185336271,0.160601185336271
"35",14,3,5,19,2,2015,0,0,0,0,20876,21559.08203125,683.08203125,0.0327209250455068,0.0327209250455068
"38",17,4,3,24,2,2015,0,0,0,0,25028,27461.42578125,2433.42578125,0.0972281357379735,0.0972281357379735
"44",3,1,4,4,3,2015,0,0,0,0,35051,34852.00390625,-198.99609375,-0.00567732999771761,0.00567732999771761
"57",17,4,3,24,3,2015,0,0,0,0,28251,27644.31640625,-606.68359375,-0.0214747652737956,0.0214747652737956
"58",18,4,4,25,3,2015,0,0,0,0,26195,26269.04296875,74.04296875,0.00282660693834701,0.00282660693834701
"61",21,5,2,30,3,2015,0,0,0,0,21785,24890.21484375,3105.21484375,0.142539125258205,0.142539125258205
"67",5,2,3,7,4,2015,0,0,0,0,35068,33660.01953125,-1407.98046875,-0.040150007663682,0.040150007663682
"73",11,3,4,15,4,2015,0,0,0,0,27586,27581.81640625,-4.18359375,-0.000151656410860581,0.000151656410860581
"77",15,4,3,21,4,2015,0,0,0,0,28280,27837.01171875,-442.98828125,-0.0156643663808345,0.0156643663808345
"79",17,4,5,23,4,2015,0,0,0,0,21327,21290.01953125,-36.98046875,-0.00173397424626061,0.00173397424626061
"85",1,1,6,1,5,2015,0,0,0,0,32744,32666.029296875,-77.970703125,-0.00238122108248839,0.00238122108248839
"86",2,1,2,4,5,2015,0,0,0,0,38823,40586.2421875,1763.2421875,0.0454174635525333,0.0454174635525333
"87",3,1,3,5,5,2015,0,0,0,0,35009,39320.125,4311.125,0.12314333457111,0.12314333457111
"90",6,1,6,8,5,2015,0,0,0,0,23020,23099.5703125,79.5703125,0.00345657308861859,0.00345657308861859
"94",10,2,5,14,5,2015,0,0,0,0,25294,22703.58203125,-2590.41796875,-0.102412349519649,0.102412349519649
"96",12,3,2,18,5,2015,0,0,0,0,28006,26668.88671875,-1337.11328125,-0.0477438149414411,0.0477438149414411
"98",14,3,4,20,5,2015,0,0,0,0,28842,26575.72265625,-2266.27734375,-0.0785755961358436,0.0785755961358436
"101",20,4,5,28,5,2015,0,0,0,0,24052,21307.98828125,-2744.01171875,-0.114086633907783,0.114086633907783
"105",3,1,4,3,6,2015,0,0,0,0,37893,34666.76953125,-3226.23046875,-0.0851405396445254,0.0851405396445254
"110",8,2,4,10,6,2015,0,0,0,0,29176,27314.31640625,-1861.68359375,-0.0638087329911571,0.0638087329911571
"117",16,4,2,22,6,2015,0,0,0,0,23790,25478.10546875,1688.10546875,0.070958615752417,0.070958615752417
"123",22,5,3,30,6,2015,0,0,0,0,28687,26980.76171875,-1706.23828125,-0.0594777523355527,0.0594777523355527
"127",7,2,5,9,7,2015,0,0,0,0,23003,23715.26953125,712.26953125,0.0309642016802156,0.0309642016802156
"128",8,2,6,10,7,2015,0,0,0,0,19863,21564.79296875,1701.79296875,0.0856765326864019,0.0856765326864019
"129",9,3,2,13,7,2015,0,0,0,0,29198,27840.52734375,-1357.47265625,-0.0464919739793822,0.0464919739793822
"132",12,3,5,16,7,2015,0,0,0,0,25888,23531.23828125,-2356.76171875,-0.0910368401865729,0.0910368401865729
"135",15,4,3,21,7,2015,0,0,0,0,29435,28370.68359375,-1064.31640625,-0.0361581928401563,0.0361581928401563
"137",17,4,5,23,7,2015,0,0,0,0,23038,21695.83984375,-1342.16015625,-0.0582585361685042,0.0582585361685042
"138",18,4,6,24,7,2015,0,0,0,0,19276,20139.8828125,863.8828125,0.0448164978470637,0.0448164978470637
"139",19,5,2,27,7,2015,0,0,0,0,27086,25679.08203125,-1406.91796875,-0.0519426260337444,0.0519426260337444
"140",20,5,3,28,7,2015,0,0,0,0,27775,27517.24609375,-257.75390625,-0.00928006863186319,0.00928006863186319
"144",1,1,2,3,8,2015,0,0,0,0,40139,37274.3046875,-2864.6953125,-0.0713693742370263,0.0713693742370263
"145",2,1,3,4,8,2015,0,0,0,0,42490,43143.83984375,653.83984375,0.0153880876382678,0.0153880876382678
"147",4,1,5,6,8,2015,0,0,0,0,26619,26038.287109375,-580.712890625,-0.0218157290140501,0.0218157290140501
"148",5,1,6,7,8,2015,0,0,0,0,23845,23286.8359375,-558.1640625,-0.0234080126860977,0.0234080126860977
"169",8,2,5,10,9,2015,0,0,0,0,25426,23970.02734375,-1455.97265625,-0.0572631423051207,0.0572631423051207
"171",10,3,2,14,9,2015,0,0,0,0,29029,28300.52734375,-728.47265625,-0.0250946521151263,0.0250946521151263
"173",12,3,4,16,9,2015,0,0,0,0,29922,29396.89453125,-525.10546875,-0.0175491433978344,0.0175491433978344
"174",13,3,5,17,9,2015,0,0,0,0,24174,24184.05078125,10.05078125,0.000415768232398445,0.000415768232398445
"179",18,4,5,24,9,2015,0,0,0,0,23423,22075.17578125,-1347.82421875,-0.0575427664581821,0.0575427664581821
"184",1,1,5,1,10,2015,0,0,0,0,34787,35527.94140625,740.94140625,0.0212993763834191,0.0212993763834191
"189",6,1,5,8,10,2015,0,0,0,0,24361,26789.107421875,2428.107421875,0.0996719109180658,0.0996719109180658
"190",7,1,6,9,10,2015,0,0,0,0,21554,22461.43359375,907.43359375,0.0421004729400575,0.0421004729400575
"200",17,3,6,23,10,2015,0,0,0,0,18890,20436.7578125,1546.7578125,0.0818823616993118,0.0818823616993118
"201",18,4,2,26,10,2015,0,0,0,0,24376,25961.69921875,1585.69921875,0.0650516581371021,0.0650516581371021
"209",4,1,5,5,11,2015,0,0,0,0,27249,26475.318359375,-773.681640625,-0.0283930287579361,0.0283930287579361
"219",14,3,5,19,11,2015,0,0,0,0,23182,22447.01171875,-734.98828125,-0.0317051281705634,0.0317051281705634
"220",15,3,6,20,11,2015,0,0,0,0,22087,20762.890625,-1324.109375,-0.0599497158962286,0.0599497158962286
"222",17,4,3,24,11,2015,0,0,0,0,28435,28380.48828125,-54.51171875,-0.00191706413750659,0.00191706413750659
"236",13,3,5,17,12,2015,0,0,0,0,22437,23409.32421875,972.32421875,0.043335749821723,0.043335749821723
"238",15,4,2,21,12,2015,0,0,0,0,27991,26279.00390625,-1711.99609375,-0.061162376969383,0.061162376969383
"242",4,1,4,6,1,2016,0,0,0,0,47884,37314.82421875,-10569.17578125,-0.220724579843998,0.220724579843998
"243",5,1,5,7,1,2016,0,0,0,0,30408,29636.607421875,-771.392578125,-0.0253680800488358,0.0253680800488358
"244",6,1,6,8,1,2016,0,0,0,0,26166,25714.0234375,-451.9765625,-0.0172734297370634,0.0172734297370634
"245",7,2,2,11,1,2016,0,0,0,0,29112,29961.54296875,849.54296875,0.029181882685834,0.029181882685834
"246",8,2,3,12,1,2016,0,0,0,0,32202,31296.962890625,-905.037109375,-0.0281049968751941,0.0281049968751941
"249",11,2,6,15,1,2016,0,0,0,0,22266,22672.87890625,406.87890625,0.0182735518840384,0.0182735518840384
"251",13,3,3,19,1,2016,0,0,0,0,33414,30874.14453125,-2539.85546875,-0.0760117157104806,0.0760117157104806
"258",21,4,6,29,1,2016,0,0,0,0,22484,21597.4609375,-886.5390625,-0.0394297750622665,0.0394297750622665
"262",4,1,5,4,2,2016,0,0,0,0,27513,27688.248046875,175.248046875,0.00636964514502235,0.00636964514502235
"266",8,2,4,10,2,2016,0,0,0,0,28100,28345.828125,245.828125,0.00874833185053381,0.00874833185053381
"283",4,1,6,4,3,2016,0,0,0,0,28520,24714.84375,-3805.15625,-0.133420625876578,0.133420625876578
"288",9,2,6,11,3,2016,0,0,0,0,19528,22231.86328125,2703.86328125,0.138460839883757,0.138460839883757
"302",1,1,6,1,4,2016,0,0,0,0,34714,32772.4765625,-1941.5234375,-0.0559291190153828,0.0559291190153828
"304",3,1,3,5,4,2016,0,0,0,0,41322,40736.921875,-585.078125,-0.0141589982333866,0.0141589982333866
"306",5,1,5,7,4,2016,0,0,0,0,25399,25985.904296875,586.904296875,0.0231073781202016,0.0231073781202016
"309",8,2,3,12,4,2016,0,0,0,0,32871,31637.001953125,-1233.998046875,-0.0375406299435673,0.0375406299435673
"310",9,2,4,13,4,2016,0,0,0,0,28113,28141.296875,28.296875,0.0010065405684203,0.0010065405684203
"317",16,3,6,22,4,2016,0,0,0,0,19754,20500.9375,746.9375,0.0378119621342513,0.0378119621342513
"326",4,1,5,5,5,2016,0,0,0,0,26038,26412.857421875,374.857421875,0.0143965520345265,0.0143965520345265
"332",10,2,6,13,5,2016,0,0,0,0,23259,22192.99609375,-1066.00390625,-0.045831888999957,0.045831888999957
"338",16,4,2,23,5,2016,0,0,0,0,25021,25761.03515625,740.03515625,0.0295765619379721,0.0295765619379721
"341",19,4,5,26,5,2016,0,0,0,0,21069,21543.57421875,474.57421875,0.0225247623878684,0.0225247623878684
"345",4,2,2,6,6,2016,0,0,0,0,35593,34329.671875,-1263.328125,-0.0354937241873402,0.0354937241873402
"347",6,2,4,8,6,2016,0,0,0,0,29918,30215.412109375,297.412109375,0.00994090879654389,0.00994090879654389
"348",7,2,5,9,6,2016,0,0,0,0,22563,23284.48828125,721.48828125,0.0319766113216328,0.0319766113216328
"349",8,2,6,10,6,2016,0,0,0,0,20038,21710.49609375,1672.49609375,0.0834662188716439,0.0834662188716439
"361",20,5,3,28,6,2016,0,0,0,0,28758,28892.08984375,134.08984375,0.00466269711906252,0.00466269711906252
"368",8,2,3,12,7,2016,0,0,0,0,31092,32154.423828125,1062.423828125,0.0341703276767336,0.0341703276767336
"370",10,2,5,14,7,2016,0,0,0,0,24310,23496.86328125,-813.13671875,-0.0334486515322912,0.0334486515322912
"382",1,1,2,1,8,2016,0,0,0,0,37394,38765.6328125,1371.6328125,0.0366805587126277,0.0366805587126277
"391",10,2,6,12,8,2016,0,0,0,0,23409,22067.99609375,-1341.00390625,-0.057285826231364,0.057285826231364
"402",21,5,2,29,8,2016,0,0,0,0,25581,26619.98046875,1038.98046875,0.040615318742426,0.040615318742426
"405",1,1,5,1,9,2016,0,0,0,0,32905,36162.70703125,3257.70703125,0.0990034046877374,0.0990034046877374
"413",12,2,6,16,9,2016,0,0,0,0,25752,22929.67578125,-2822.32421875,-0.109596311694237,0.109596311694237
"414",13,3,2,19,9,2016,0,0,0,0,26742,29333.24609375,2591.24609375,0.0968979916891033,0.0968979916891033
"424",3,1,4,5,10,2016,0,0,0,0,28838,35954.421875,7116.421875,0.246772379325889,0.246772379325889
"435",15,3,6,21,10,2016,0,0,0,0,20656,20441.953125,-214.046875,-0.0103624552188226,0.0103624552188226
"444",3,1,5,3,11,2016,0,0,0,0,31162,32078.724609375,916.724609375,0.0294180286687311,0.0294180286687311
"448",7,2,4,9,11,2016,0,0,0,0,29740,31333.06640625,1593.06640625,0.053566456161735,0.053566456161735
"451",10,3,2,14,11,2016,0,0,0,0,27377,30422.861328125,3045.861328125,0.111256212445666,0.111256212445666
"452",11,3,3,15,11,2016,0,0,0,0,32096,32793.07421875,697.07421875,0.0217184140936565,0.0217184140936565
"455",14,3,6,18,11,2016,0,0,0,0,24623,22078.6484375,-2544.3515625,-0.103332313791983,0.103332313791983
"457",16,4,3,22,11,2016,0,0,0,0,26901,30079.27734375,3178.27734375,0.118147182028549,0.118147182028549
"461",2,1,6,2,12,2016,0,0,0,0,34371,33239.91796875,-1131.08203125,-0.0329080338439382,0.0329080338439382
"464",5,2,4,7,12,2016,0,0,0,0,34853,32111.076171875,-2741.923828125,-0.0786710994211402,0.0786710994211402
"469",10,3,4,14,12,2016,0,0,0,0,28455,28661.296875,206.296875,0.00724993410648392,0.00724993410648392
"471",12,3,6,16,12,2016,0,0,0,0,24559,22502.13671875,-2056.86328125,-0.0837519150311495,0.0837519150311495
"473",14,4,3,20,12,2016,0,0,0,0,32340,30926.77734375,-1413.22265625,-0.0436989071196661,0.0436989071196661
"484",9,2,5,12,1,2017,0,0,0,0,23256,23775.80859375,519.80859375,0.0223515907185243,0.0223515907185243
"488",13,3,4,18,1,2017,0,0,0,0,29876,27910.78125,-1965.21875,-0.0657791789396171,0.0657791789396171
"490",15,3,6,20,1,2017,0,0,0,0,19298,20555.5078125,1257.5078125,0.065162597808063,0.065162597808063
"491",16,4,2,23,1,2017,0,0,0,0,27245,26556.15234375,-688.84765625,-0.0252834522389429,0.0252834522389429
"497",22,5,3,31,1,2017,0,0,0,0,29666,30215.33203125,549.33203125,0.0185172261595766,0.0185172261595766
"498",1,1,4,1,2,2017,0,0,0,0,39108,37333.71875,-1774.28125,-0.0453687544747878,0.0453687544747878
