"","WORKDAY","MONTHWEEK","WEEKDAY","MONTHDAY","MONTH","YEAR","BEFVAC","AFTVAC","BEFCHR","AFTCHR","WHSLINES","forecastlines","delta","error_rate","error_rate_abs"
"1",2,1,6,2,1,2015,0,0,0,0,40990,46527.4140625,5537.4140625,0.135091828799707,0.135091828799707
"4",5,1,4,7,1,2015,0,0,0,0,55027,57813.96875,2786.96875,0.0506472958729351,0.0506472958729351
"5",6,1,5,8,1,2015,0,0,0,0,47363,44912.30859375,-2450.69140625,-0.0517427402455503,0.0517427402455503
"6",7,1,6,9,1,2015,0,0,0,0,38477,37417.171875,-1059.828125,-0.0275444583777322,0.0275444583777322
"11",12,2,6,16,1,2015,0,0,0,0,34427,35788.41796875,1361.41796875,0.0395450654646063,0.0395450654646063
"12",13,3,2,19,1,2015,0,0,0,0,44971,44983.00390625,12.00390625,0.000266925490871895,0.000266925490871895
"16",17,3,6,23,1,2015,0,0,0,0,33063,35170.72265625,2107.72265625,0.0637486814944197,0.0637486814944197
"19",20,4,4,28,1,2015,0,0,0,0,43492,43904.2578125,412.2578125,0.00947893434424722,0.00947893434424722
"30",9,2,5,12,2,2015,0,0,0,0,39765,39065.90234375,-699.09765625,-0.017580728184333,0.017580728184333
"31",10,2,6,13,2,2015,0,0,0,0,33572,35217.71484375,1645.71484375,0.0490204588272966,0.0490204588272966
"42",1,1,2,2,3,2015,0,0,0,0,52897,45887.68359375,-7009.31640625,-0.132508769991682,0.132508769991682
"49",8,2,4,11,3,2015,0,0,0,0,47441,45933.62890625,-1507.37109375,-0.031773594438355,0.031773594438355
"50",9,2,5,12,3,2015,0,0,0,0,39882,39130.04296875,-751.95703125,-0.0188545466939973,0.0188545466939973
"52",11,3,2,16,3,2015,0,0,0,0,44681,42140.58203125,-2540.41796875,-0.056856784063696,0.056856784063696
"58",17,4,3,24,3,2015,0,0,0,0,50629,48010.85546875,-2618.14453125,-0.0517123492711687,0.0517123492711687
"60",19,4,5,26,3,2015,0,0,0,0,36688,37337.30859375,649.30859375,0.0176981191057021,0.0176981191057021
"69",6,2,4,8,4,2015,0,0,0,0,45854,49539.93359375,3685.93359375,0.0803841233861822,0.0803841233861822
"72",9,3,2,13,4,2015,0,0,0,0,47139,46539.046875,-599.953125,-0.0127273197352511,0.0127273197352511
"84",21,5,4,29,4,2015,0,0,0,0,43512,45498.03515625,1986.03515625,0.0456433893236349,0.0456433893236349
"96",11,2,6,15,5,2015,0,0,0,0,36400,37280.51171875,880.51171875,0.0241898823832418,0.0241898823832418
"100",15,3,5,21,5,2015,0,0,0,0,42947,42028.3984375,-918.6015625,-0.0213891904556779,0.0213891904556779
