"","WORKDAY","MONTHWEEK","WEEKDAY","MONTHDAY","MONTH","YEAR","BEFVAC","AFTVAC","BEFCHR","AFTCHR","WHSLINES","forecastlines","delta","error_rate","error_rate_abs"
"4",6,1,5,8,1,2015,0,0,0,0,29209,28475.822265625,-733.177734375,-0.0251010898823993,0.0251010898823993
"5",7,1,6,9,1,2015,0,0,0,0,26195,21549.095703125,-4645.904296875,-0.177358438514029,0.177358438514029
"8",10,2,4,14,1,2015,0,0,0,0,26135,27568.869140625,1433.869140625,0.0548639426296155,0.0548639426296155
"10",12,2,6,16,1,2015,0,0,0,0,21096,20676.373046875,-419.626953125,-0.0198913041868127,0.0198913041868127
"14",16,3,5,22,1,2015,0,0,0,0,23205,23351.0546875,146.0546875,0.00629410418013359,0.00629410418013359
"17",19,4,3,27,1,2015,0,0,0,0,26326,26449.919921875,123.919921875,0.00470713066455215,0.00470713066455215
"20",22,4,6,30,1,2015,0,0,0,0,20696,19740.611328125,-955.388671875,-0.046162962498792,0.046162962498792
"23",3,1,4,4,2,2015,0,0,0,0,29818,32107.5625,2289.5625,0.0767845764303441,0.0767845764303441
"24",5,1,6,6,2,2015,0,0,0,0,22982,23274.818359375,292.818359375,0.0127412043936559,0.0127412043936559
"42",8,2,4,11,3,2015,0,0,0,0,25251,26689.806640625,1438.806640625,0.0569801845718981,0.0569801845718981
"47",13,3,4,18,3,2015,0,0,0,0,27433,27466.876953125,33.876953125,0.00123489786479787,0.00123489786479787
"49",15,3,6,20,3,2015,0,0,0,0,21091,21356.939453125,265.939453125,0.0126091438587549,0.0126091438587549
"53",19,4,5,26,3,2015,0,0,0,0,21515,22211.130859375,696.130859375,0.0323556058273298,0.0323556058273298
"55",21,5,2,30,3,2015,0,0,0,0,20252,24414.841796875,4162.841796875,0.205552132968349,0.205552132968349
"65",9,3,2,13,4,2015,0,0,0,0,25888,26414.884765625,526.884765625,0.020352470860051,0.020352470860051
"69",13,3,6,17,4,2015,0,0,0,0,20010,22117.193359375,2107.193359375,0.105307014461519,0.105307014461519
"73",17,4,5,23,4,2015,0,0,0,0,23540,23409.4140625,-130.5859375,-0.00554740601104503,0.00554740601104503
"98",3,1,4,3,6,2015,0,0,0,0,33090,33989.125,899.125,0.0271721063765488,0.0271721063765488
"103",8,2,4,10,6,2015,0,0,0,0,30187,28101.330078125,-2085.669921875,-0.0690916593856627,0.0690916593856627
"104",9,2,5,11,6,2015,0,0,0,0,23988,24497.51953125,509.51953125,0.0212406007691346,0.0212406007691346
"108",13,3,4,17,6,2015,0,0,0,0,28305,28727.814453125,422.814453125,0.0149378008523229,0.0149378008523229
"113",18,4,4,24,6,2015,0,0,0,0,27830,27010.818359375,-819.181640625,-0.0294352008848365,0.0294352008848365
"131",17,4,5,23,7,2015,0,0,0,0,25427,25573.02734375,146.02734375,0.0057430032544146,0.0057430032544146
