"","WORKDAY","MONTHWEEK","WEEKDAY","MONTHDAY","MONTH","YEAR","BEFVAC","AFTVAC","BEFCHR","AFTCHR","WHSLINES","forecastlines","delta","error_rate","error_rate_abs"
"1",2,1,6,2,1,2015,0,0,0,0,40990,48140.52734375,7150.52734375,0.174445653665528,0.174445653665528
"4",5,1,4,7,1,2015,0,0,0,0,55027,55723.40625,696.40625,0.0126557190106675,0.0126557190106675
"5",6,1,5,8,1,2015,0,0,0,0,47363,45920.41015625,-1442.58984375,-0.0304581602463949,0.0304581602463949
"6",7,1,6,9,1,2015,0,0,0,0,38477,38261.20703125,-215.79296875,-0.00560836262572446,0.00560836262572446
"14",15,3,4,21,1,2015,0,0,0,0,48500,46156.5234375,-2343.4765625,-0.0483191043814433,0.0483191043814433
"16",17,3,6,23,1,2015,0,0,0,0,33063,33647.38671875,584.38671875,0.0176749453694462,0.0176749453694462
"25",4,1,5,5,2,2015,0,0,0,0,40998,41768.97265625,770.97265625,0.0188051284513879,0.0188051284513879
"30",9,2,5,12,2,2015,0,0,0,0,39765,39532.6796875,-232.3203125,-0.00584233151012197,0.00584233151012197
"31",10,2,6,13,2,2015,0,0,0,0,33572,34477.515625,905.515625,0.0269723467472894,0.0269723467472894
"44",3,1,4,4,3,2015,0,0,0,0,52256,55345.421875,3089.421875,0.0591209023844152,0.0591209023844152
"46",5,1,6,6,3,2015,0,0,0,0,33511,35509.94140625,1998.94140625,0.0596503060562203,0.0596503060562203
"49",8,2,4,11,3,2015,0,0,0,0,47441,46220.43359375,-1220.56640625,-0.0257280918667397,0.0257280918667397
"64",1,1,4,1,4,2015,0,0,0,0,48905,53396.90625,4491.90625,0.0918496319394745,0.0918496319394745
"81",18,4,6,24,4,2015,0,0,0,0,33534,34477.12890625,943.12890625,0.0281245573522395,0.0281245573522395
"82",19,5,2,27,4,2015,0,0,0,0,47058,42019.21875,-5038.78125,-0.107075975392069,0.107075975392069
"90",5,1,5,7,5,2015,0,0,0,0,44236,42897.12890625,-1338.87109375,-0.0302665497275974,0.0302665497275974
"91",6,1,6,8,5,2015,0,0,0,0,38485,38183.828125,-301.171875,-0.00782569507600364,0.00782569507600364
"95",10,2,5,14,5,2015,0,0,0,0,43231,40518.06640625,-2712.93359375,-0.0627543566827045,0.0627543566827045
"108",6,2,2,8,6,2015,0,0,0,0,48704,49826.78125,1122.78125,0.0230531629845598,0.0230531629845598
"117",15,3,6,19,6,2015,0,0,0,0,35748,36326.9453125,578.9453125,0.0161951804996084,0.0161951804996084
"123",21,5,2,29,6,2015,0,0,0,0,41346,45199.27734375,3853.27734375,0.093195891833551,0.093195891833551
"128",7,2,5,9,7,2015,0,0,0,0,44594,45108.80859375,514.80859375,0.0115443466329551,0.0115443466329551
"130",9,3,2,13,7,2015,0,0,0,0,50692,49342.49609375,-1349.50390625,-0.0266216347007417,0.0266216347007417
"148",4,1,5,6,8,2015,0,0,0,0,48804,47938.30859375,-865.69140625,-0.0177381240523318,0.0177381240523318
"151",7,2,3,11,8,2015,0,0,0,0,57245,57487.84765625,242.84765625,0.0042422509607826,0.0042422509607826
"161",17,4,3,25,8,2015,0,0,0,0,55133,54411.8359375,-721.1640625,-0.0130804429742622,0.0130804429742622
"163",19,4,5,27,8,2015,0,0,0,0,41306,43804.35546875,2498.35546875,0.0604840814591101,0.0604840814591101
"164",20,4,6,28,8,2015,0,0,0,0,36525,39830.265625,3305.265625,0.0904932409308693,0.0904932409308693
"169",7,2,4,9,9,2015,0,0,0,0,60410,54152.06640625,-6257.93359375,-0.103591021250621,0.103591021250621
"178",16,4,3,22,9,2015,0,0,0,0,57796,55731.8359375,-2064.1640625,-0.0357146526143678,0.0357146526143678
"182",20,5,2,28,9,2015,0,0,0,0,46797,47185.83984375,388.83984375,0.00830907630296814,0.00830907630296814
"184",22,5,4,30,9,2015,0,0,0,0,48485,47807.9921875,-677.0078125,-0.0139632424976797,0.0139632424976797
"190",6,1,5,8,10,2015,0,0,0,0,43884,46800.921875,2916.921875,0.0664689152082764,0.0664689152082764
"191",7,1,6,9,10,2015,0,0,0,0,36472,41632.03515625,5160.03515625,0.141479358309114,0.141479358309114
"192",8,2,2,12,10,2015,0,0,0,0,49517,48500.62109375,-1016.37890625,-0.0205258579124341,0.0205258579124341
"194",10,2,4,14,10,2015,0,0,0,0,50654,49211.60546875,-1442.39453125,-0.02847543197477,0.02847543197477
"200",16,3,5,22,10,2015,0,0,0,0,41642,43134.27734375,1492.27734375,0.0358358710856827,0.0358358710856827
"204",20,4,4,28,10,2015,0,0,0,0,48742,47865.6953125,-876.3046875,-0.0179784310758689,0.0179784310758689
"207",1,1,2,2,11,2015,0,0,0,0,54809,55124.26953125,315.26953125,0.00575214893995512,0.00575214893995512
"208",2,1,3,3,11,2015,0,0,0,0,70868,64318.3125,-6549.6875,-0.092420944573009,0.092420944573009
"211",5,1,6,6,11,2015,0,0,0,0,41690,41345.74609375,-344.25390625,-0.00825746956704246,0.00825746956704246
"212",6,2,2,9,11,2015,0,0,0,0,51366,50607.57421875,-758.42578125,-0.0147651322129424,0.0147651322129424
"213",7,2,3,10,11,2015,0,0,0,0,57033,56820.66015625,-212.33984375,-0.00372310493486227,0.00372310493486227
"215",9,2,5,12,11,2015,0,0,0,0,45133,43912.16796875,-1220.83203125,-0.0270496539394678,0.0270496539394678
"222",16,4,2,23,11,2015,0,0,0,0,48225,46087.40234375,-2137.59765625,-0.0443255086832556,0.0443255086832556
"224",21,5,2,30,11,2015,0,0,0,0,47142,48034.35546875,892.35546875,0.0189290965328157,0.0189290965328157
"227",3,1,5,3,12,2015,0,0,0,0,54581,49827.21484375,-4753.78515625,-0.0870959703239222,0.0870959703239222
"229",5,2,2,7,12,2015,0,0,0,0,55734,54784.0703125,-949.9296875,-0.0170439890820684,0.0170439890820684
"231",7,2,4,9,12,2015,0,0,0,0,53520,52880.58203125,-639.41796875,-0.0119472714639387,0.0119472714639387
"232",8,2,5,10,12,2015,0,0,0,0,47942,46128.10546875,-1813.89453125,-0.0378351869185683,0.0378351869185683
"233",9,2,6,11,12,2015,0,0,0,0,40101,37409.30078125,-2691.69921875,-0.0671229949066108,0.0671229949066108
"242",21,5,3,29,12,2015,0,0,0,0,44204,48115.078125,3911.078125,0.0884779233779748,0.0884779233779748
"252",11,2,6,15,1,2016,0,0,0,0,38082,36535.390625,-1546.609375,-0.0406126089753689,0.0406126089753689
"254",13,3,3,19,1,2016,0,0,0,0,58868,56793.6328125,-2074.3671875,-0.0352376025599647,0.0352376025599647
"255",14,3,4,20,1,2016,0,0,0,0,48890,50421.33203125,1531.33203125,0.0313219887758233,0.0313219887758233
"260",19,4,4,27,1,2016,0,0,0,0,48042,47561.6796875,-480.3203125,-0.00999792499271471,0.00999792499271471
"267",5,1,6,5,2,2016,0,0,0,0,40361,38612.1875,-1748.8125,-0.0433292658754739,0.0433292658754739
"269",7,2,3,9,2,2016,0,0,0,0,55531,55490.07421875,-40.92578125,-0.000736989811996903,0.000736989811996903
"274",12,3,3,16,2,2016,0,0,0,0,56354,54102.4609375,-2251.5390625,-0.0399534915445221,0.0399534915445221
"280",18,4,4,24,2,2016,0,0,0,0,47488,47515.5078125,27.5078125,0.000579258181014151,0.000579258181014151
"285",2,1,4,2,3,2016,0,0,0,0,62431,63711.4375,1280.4375,0.0205096426454806,0.0205096426454806
"288",5,2,2,7,3,2016,0,0,0,0,55346,53665.4375,-1680.5625,-0.0303646604994038,0.0303646604994038
"290",7,2,4,9,3,2016,0,0,0,0,50699,50830.38671875,131.38671875,0.00259150513323734,0.00259150513323734
"294",11,3,3,15,3,2016,0,0,0,0,55131,54891.0546875,-239.9453125,-0.00435227571602184,0.00435227571602184
"304",21,5,3,29,3,2016,0,0,0,0,49304,50718.828125,1414.828125,0.0286960109727405,0.0286960109727405
"312",6,1,6,8,4,2016,0,0,0,0,41538,38560.234375,-2977.765625,-0.0716877467620011,0.0716877467620011
"316",10,2,5,14,4,2016,0,0,0,0,44328,40642.68359375,-3685.31640625,-0.0831374392314113,0.0831374392314113
"317",11,2,6,15,4,2016,0,0,0,0,38204,35368.28515625,-2835.71484375,-0.074225600558842,0.074225600558842
"318",12,3,2,18,4,2016,0,0,0,0,52858,50203.79296875,-2654.20703125,-0.0502139133385675,0.0502139133385675
"322",16,3,6,22,4,2016,0,0,0,0,36926,34675.86328125,-2250.13671875,-0.0609363786695012,0.0609363786695012
"325",19,4,4,27,4,2016,0,0,0,0,46580,46918.5546875,338.5546875,0.00726824146629455,0.00726824146629455
"330",3,1,4,4,5,2016,0,0,0,0,58550,60438.78125,1888.78125,0.0322592869342442,0.0322592869342442
"335",8,2,4,11,5,2016,0,0,0,0,48681,50376.73046875,1695.73046875,0.0348335175684559,0.0348335175684559
"342",15,3,6,20,5,2016,0,0,0,0,35219,35881.6328125,662.6328125,0.0188146401800165,0.0188146401800165
"344",17,4,3,24,5,2016,0,0,0,0,55083,53794.140625,-1288.859375,-0.0233984963600385,0.0233984963600385
"347",1,1,4,1,6,2016,0,0,0,0,61785,60186.046875,-1598.953125,-0.0258793092983734,0.0258793092983734
"350",4,2,2,6,6,2016,0,0,0,0,57821,54621.37890625,-3199.62109375,-0.0553366613124989,0.0553366613124989
"357",12,3,5,16,6,2016,0,0,0,0,44776,42657.3203125,-2118.6796875,-0.0473173058669823,0.0473173058669823
"359",14,4,2,20,6,2016,0,0,0,0,52387,50405.51171875,-1981.48828125,-0.0378240456840438,0.0378240456840438
"366",21,5,4,29,6,2016,0,0,0,0,44471,46532.7734375,2061.7734375,0.0463622009286951,0.0463622009286951
"371",7,2,2,11,7,2016,0,0,0,0,53519,52825.66015625,-693.33984375,-0.0129550223985874,0.0129550223985874
"373",9,2,4,13,7,2016,0,0,0,0,47296,51152.35546875,3856.35546875,0.0815366092005666,0.0815366092005666
"383",19,4,4,27,7,2016,0,0,0,0,50716,48099.2578125,-2616.7421875,-0.0515959891848726,0.0515959891848726
"386",1,1,2,1,8,2016,0,0,0,0,55362,57309.26953125,1947.26953125,0.0351733956730248,0.0351733956730248
"387",2,1,3,2,8,2016,0,0,0,0,72974,71676.359375,-1297.640625,-0.0177822323704333,0.0177822323704333
"389",4,1,5,4,8,2016,0,0,0,0,48615,47681.51171875,-933.48828125,-0.0192016513678906,0.0192016513678906
"392",7,2,3,9,8,2016,0,0,0,0,64177,59511.08984375,-4665.91015625,-0.0727037748141858,0.0727037748141858
