"","WORKDAY","MONTHWEEK","WEEKDAY","MONTHDAY","MONTH","YEAR","BEFVAC","AFTVAC","BEFCHR","AFTCHR","WHSLINES","forecastlines","delta","error_rate","error_rate_abs"
"3",5,1,4,7,1,2015,0,0,0,0,33351,32325.439453125,-1025.560546875,-0.0307505186313754,0.0307505186313754
"4",6,1,5,8,1,2015,0,0,0,0,29209,27440.32421875,-1768.67578125,-0.0605524249803143,0.0605524249803143
"5",7,1,6,9,1,2015,0,0,0,0,26195,24261.341796875,-1933.658203125,-0.0738178355840809,0.0738178355840809
"8",10,2,4,14,1,2015,0,0,0,0,26135,26625.833984375,490.833984375,0.0187807149177348,0.0187807149177348
"12",14,3,3,20,1,2015,0,0,0,0,26368,28937.240234375,2569.240234375,0.0974378122866732,0.0974378122866732
"14",16,3,5,22,1,2015,0,0,0,0,23205,23508.4140625,303.4140625,0.0130753743805214,0.0130753743805214
"20",22,4,6,30,1,2015,0,0,0,0,20696,19588.884765625,-1107.115234375,-0.0534941647842578,0.0534941647842578
"23",3,1,4,4,2,2015,0,0,0,0,29818,31489.34765625,1671.34765625,0.0560516351281105,0.0560516351281105
"24",5,1,6,6,2,2015,0,0,0,0,22982,23573.392578125,591.392578125,0.0257328595476895,0.0257328595476895
"42",8,2,4,11,3,2015,0,0,0,0,25251,26327.865234375,1076.865234375,0.0426464391261732,0.0426464391261732
"49",15,3,6,20,3,2015,0,0,0,0,21091,21171.619140625,80.619140625,0.0038224427777251,0.0038224427777251
"51",17,4,3,24,3,2015,0,0,0,0,29263,27305.482421875,-1957.517578125,-0.066893947241397,0.066893947241397
"55",21,5,2,30,3,2015,0,0,0,0,20252,24402.537109375,4150.537109375,0.204944554087251,0.204944554087251
"60",4,2,2,6,4,2015,0,0,0,0,29798,31738.556640625,1940.556640625,0.0651237210760789,0.0651237210760789
"69",13,3,6,17,4,2015,0,0,0,0,20010,21336.541015625,1326.541015625,0.0662939038293353,0.0662939038293353
"82",5,1,5,7,5,2015,0,0,0,0,28381,26083.68359375,-2297.31640625,-0.0809455764860294,0.0809455764860294
