"","WORKDAY","MONTHWEEK","WEEKDAY","MONTHDAY","MONTH","YEAR","BEFVAC","AFTVAC","BEFCHR","AFTCHR","WHSLINES","forecastlines","delta","error_rate","error_rate_abs"
"1",2,1,6,2,1,2015,0,0,0,0,35297,48288.140625,12991.140625,0.368052260107091,0.368052260107091
"4",5,1,4,7,1,2015,0,0,0,0,57226,57389.49609375,163.49609375,0.00285702466973054,0.00285702466973054
"5",6,1,5,8,1,2015,0,0,0,0,54014,47340.81640625,-6673.18359375,-0.123545443658126,0.123545443658126
"6",7,1,6,9,1,2015,0,0,0,0,41310,38975.78515625,-2334.21484375,-0.0565048376603728,0.0565048376603728
"15",16,3,5,22,1,2015,0,0,0,0,40461,42079.6171875,1618.6171875,0.0400043792170238,0.0400043792170238
"20",21,4,5,29,1,2015,0,0,0,0,39918,41336.7265625,1418.7265625,0.035541023159978,0.035541023159978
"26",5,1,6,6,2,2015,0,0,0,0,36405,36960.53125,555.53125,0.0152597514077737,0.0152597514077737
"35",14,3,5,19,2,2015,0,0,0,0,38420,42202.1953125,3782.1953125,0.0984433969937532,0.0984433969937532
"50",9,2,5,12,3,2015,0,0,0,0,43451,42279.203125,-1171.796875,-0.0269682372097305,0.0269682372097305
"57",16,4,2,23,3,2015,0,0,0,0,47737,47173.37109375,-563.62890625,-0.0118069611883864,0.0118069611883864
"58",17,4,3,24,3,2015,0,0,0,0,51529,50505.24609375,-1023.75390625,-0.0198675290855635,0.0198675290855635
"66",3,1,6,3,4,2015,0,0,0,0,35119,42480.71875,7361.71875,0.209622106267263,0.209622106267263
"67",4,2,2,6,4,2015,0,0,0,0,48506,51111.13671875,2605.13671875,0.0537075149208345,0.0537075149208345
"71",8,2,6,10,4,2015,0,0,0,0,38147,37067.77734375,-1079.22265625,-0.0282911541209007,0.0282911541209007
"73",10,3,3,14,4,2015,0,0,0,0,52519,51542.16015625,-976.83984375,-0.0185997418791295,0.0185997418791295
"75",12,3,5,16,4,2015,0,0,0,0,39458,42497.36328125,3039.36328125,0.0770278088410462,0.0770278088410462
"89",4,1,4,6,5,2015,0,0,0,0,50729,54932.38671875,4203.38671875,0.0828596408119616,0.0828596408119616
"91",6,1,6,8,5,2015,0,0,0,0,37264,39817.859375,2553.859375,0.0685342253917991,0.0685342253917991
"97",12,3,2,18,5,2015,0,0,0,0,51185,50067.5390625,-1117.4609375,-0.0218318049721598,0.0218318049721598
"99",14,3,4,20,5,2015,0,0,0,0,50184,50861.94140625,677.94140625,0.0135091145833333,0.0135091145833333
"104",1,1,2,1,6,2015,0,0,0,0,55929,56160.43359375,231.43359375,0.00413798912460441,0.00413798912460441
"105",2,1,3,2,6,2015,0,0,0,0,61309,59555.43359375,-1753.56640625,-0.0286021041975893,0.0286021041975893
"108",5,1,6,5,6,2015,0,0,0,0,36913,39122.234375,2209.234375,0.0598497649879446,0.0598497649879446
"117",14,3,5,18,6,2015,0,0,0,0,42310,43429.15625,1119.15625,0.0264513412904751,0.0264513412904751
"127",2,1,5,2,7,2015,0,0,0,0,45212,52221.40234375,7009.40234375,0.15503411359263,0.15503411359263
"128",6,2,4,8,7,2015,0,0,0,0,55142,56413.09765625,1271.09765625,0.0230513520773639,0.0230513520773639
"132",10,3,3,14,7,2015,0,0,0,0,54856,56331.2890625,1475.2890625,0.0268938504903748,0.0268938504903748
"133",11,3,4,15,7,2015,0,0,0,0,55081,53145.9765625,-1935.0234375,-0.0351305066629146,0.0351305066629146
"138",16,4,4,22,7,2015,0,0,0,0,53477,50535.92578125,-2941.07421875,-0.0549969934504553,0.0549969934504553
"143",21,5,4,29,7,2015,0,0,0,0,53067,49391.39453125,-3675.60546875,-0.0692634870776565,0.0692634870776565
"151",6,2,2,10,8,2015,0,0,0,0,51179,53371.76953125,2192.76953125,0.0428451030940425,0.0428451030940425
"158",13,3,4,19,8,2015,0,0,0,0,51322,50737.41015625,-584.58984375,-0.011390628653404,0.011390628653404
"162",17,4,3,25,8,2015,0,0,0,0,56386,54155.84765625,-2230.15234375,-0.0395515259771929,0.0395515259771929
"166",21,5,2,31,8,2015,0,0,0,0,42816,47219.6953125,4403.6953125,0.102851628188061,0.102851628188061
"168",2,1,4,2,9,2015,0,0,0,0,58400,58858.32421875,458.32421875,0.00784801744434931,0.00784801744434931
"175",12,3,4,16,9,2015,0,0,0,0,53658,52505.2734375,-1152.7265625,-0.0214828462205077,0.0214828462205077
"181",18,4,5,24,9,2015,0,0,0,0,44732,44470.71875,-261.28125,-0.00584103661808102,0.00584103661808102
"183",20,5,2,28,9,2015,0,0,0,0,49266,50537.64453125,1271.64453125,0.02581180796594,0.02581180796594
"189",4,1,3,6,10,2015,0,0,0,0,57890,58979.33984375,1089.33984375,0.0188174096346519,0.0188174096346519
