"","WORKDAY","MONTHWEEK","WEEKDAY","MONTHDAY","MONTH","YEAR","BEFVAC","AFTVAC","BEFCHR","AFTCHR","WHSLINES","forecastlines","delta","error_rate","error_rate_abs"
"4",6,1,5,8,1,2015,0,0,0,0,29209,27408.25,-1800.75,-0.0616505186757506,0.0616505186757506
"5",7,1,6,9,1,2015,0,0,0,0,26195,21594.021484375,-4600.978515625,-0.175643386738881,0.175643386738881
"8",10,2,4,14,1,2015,0,0,0,0,26135,27122.4765625,987.4765625,0.0377836832791276,0.0377836832791276
"10",12,2,6,16,1,2015,0,0,0,0,21096,21558.455078125,462.455078125,0.0219214580074422,0.0219214580074422
"14",16,3,5,22,1,2015,0,0,0,0,23205,23316.810546875,111.810546875,0.00481838167959492,0.00481838167959492
"17",19,4,3,27,1,2015,0,0,0,0,26326,25717.322265625,-608.677734375,-0.0231207830424295,0.0231207830424295
"20",22,4,6,30,1,2015,0,0,0,0,20696,19348.482421875,-1347.517578125,-0.0651100491942888,0.0651100491942888
"23",3,1,4,4,2,2015,0,0,0,0,29818,32801.4140625,2983.4140625,0.100054130474881,0.100054130474881
"24",5,1,6,6,2,2015,0,0,0,0,22982,23915.84375,933.84375,0.040633702462797,0.040633702462797
"42",8,2,4,11,3,2015,0,0,0,0,25251,26601.34375,1350.34375,0.0534768425012871,0.0534768425012871
"47",13,3,4,18,3,2015,0,0,0,0,27433,27099.7421875,-333.2578125,-0.012148063008056,0.012148063008056
"49",15,3,6,20,3,2015,0,0,0,0,21091,20834.771484375,-256.228515625,-0.0121487134619032,0.0121487134619032
"53",19,4,5,26,3,2015,0,0,0,0,21515,22556.8359375,1041.8359375,0.0484237014873344,0.0484237014873344
"55",21,5,2,30,3,2015,0,0,0,0,20252,24340.681640625,4088.681640625,0.201890264696079,0.201890264696079
"65",9,3,2,13,4,2015,0,0,0,0,25888,26410.796875,522.796875,0.0201945640837454,0.0201945640837454
"67",11,3,4,15,4,2015,0,0,0,0,26891,27419.15625,528.15625,0.0196406325536425,0.0196406325536425
"69",13,3,6,17,4,2015,0,0,0,0,20010,21391.580078125,1381.580078125,0.0690444816654173,0.0690444816654173
"73",17,4,5,23,4,2015,0,0,0,0,23540,23315.248046875,-224.751953125,-0.00954766156011045,0.00954766156011045
