"","WORKDAY","MONTHWEEK","WEEKDAY","MONTHDAY","MONTH","YEAR","BEFVAC","AFTVAC","BEFCHR","AFTCHR","WHSLINES","forecastlines","delta","error_rate","error_rate_abs"
"4",6,1,5,8,1,2015,0,0,0,0,54014,46791.546875,-7222.453125,-0.133714465231236,0.133714465231236
"5",7,1,6,9,1,2015,0,0,0,0,41310,41530.37109375,220.37109375,0.00533457017066086,0.00533457017066086
"9",11,2,5,15,1,2015,0,0,0,0,45576,43696.8203125,-1879.1796875,-0.0412317818040197,0.0412317818040197
"10",12,2,6,16,1,2015,0,0,0,0,37190,38042.20703125,852.20703125,0.0229149510957247,0.0229149510957247
"15",17,3,6,23,1,2015,0,0,0,0,37028,37655.359375,627.359375,0.0169428371772713,0.0169428371772713
"17",19,4,3,27,1,2015,0,0,0,0,36232,46769.4921875,10537.4921875,0.290833853706668,0.290833853706668
"26",6,2,2,9,2,2015,0,0,0,0,46320,48986.40234375,2666.40234375,0.0575648174384715,0.0575648174384715
"29",9,2,5,12,2,2015,0,0,0,0,42111,42504.4765625,393.4765625,0.00934379526726983,0.00934379526726983
"30",10,2,6,13,2,2015,0,0,0,0,37844,37485.33203125,-358.66796875,-0.00947753854640102,0.00947753854640102
"31",11,3,2,16,2,2015,0,0,0,0,39433,42979.51171875,3546.51171875,0.089937659289174,0.089937659289174
"34",14,3,5,19,2,2015,0,0,0,0,38420,41628.8515625,3208.8515625,0.0835203425950026,0.0835203425950026
"65",3,1,6,3,4,2015,0,0,0,0,35119,42482.96875,7363.96875,0.209686174150745,0.209686174150745
"67",5,2,3,7,4,2015,0,0,0,0,53350,54269.12109375,919.12109375,0.017228136715089,0.017228136715089
"74",12,3,5,16,4,2015,0,0,0,0,39458,42952.6015625,3494.6015625,0.0885650961148563,0.0885650961148563
"79",17,4,5,23,4,2015,0,0,0,0,40896,42040.9609375,1144.9609375,0.0279968930335485,0.0279968930335485
"82",20,5,3,28,4,2015,0,0,0,0,50973,50659.2578125,-313.7421875,-0.00615506616247817,0.00615506616247817
"97",13,3,3,19,5,2015,0,0,0,0,50326,53673.4765625,3347.4765625,0.0665158479215515,0.0665158479215515
"102",21,4,6,29,5,2015,0,0,0,0,41487,38996.53125,-2490.46875,-0.0600300997902958,0.0600300997902958
"107",5,1,6,5,6,2015,0,0,0,0,36913,38116.62109375,1203.62109375,0.0326069702747,0.0326069702747
"113",11,3,2,15,6,2015,0,0,0,0,46755,51467.37890625,4712.37890625,0.100788769249278,0.100788769249278
"121",19,4,5,25,6,2015,0,0,0,0,41477,42761.5078125,1284.5078125,0.0309691591122791,0.0309691591122791
"124",22,5,3,30,6,2015,0,0,0,0,50858,51158.6328125,300.6328125,0.00591121971961147,0.00591121971961147
"130",9,3,2,13,7,2015,0,0,0,0,51358,53734.87890625,2376.87890625,0.0462805971075587,0.0462805971075587
"140",19,5,2,27,7,2015,0,0,0,0,51298,50365.8203125,-932.1796875,-0.0181718524601349,0.0181718524601349
"145",1,1,2,3,8,2015,0,0,0,0,55536,56339.98046875,803.98046875,0.0144767442514765,0.0144767442514765
"146",2,1,3,4,8,2015,0,0,0,0,57646,59948.57421875,2302.57421875,0.0399433476520487,0.0399433476520487
"148",4,1,5,6,8,2015,0,0,0,0,48171,45818.1875,-2352.8125,-0.048842924165992,0.048842924165992
"160",16,4,2,24,8,2015,0,0,0,0,49229,49656.1328125,427.1328125,0.0086764470637226,0.0086764470637226
"161",17,4,3,25,8,2015,0,0,0,0,56386,55338.7109375,-1047.2890625,-0.0185735654683787,0.0185735654683787
"162",18,4,4,26,8,2015,0,0,0,0,50363,51562.8515625,1199.8515625,0.0238240685125985,0.0238240685125985
"164",20,4,6,28,8,2015,0,0,0,0,40406,38175.26171875,-2230.73828125,-0.0552080948683364,0.0552080948683364
"173",11,3,3,15,9,2015,0,0,0,0,54956,56908.9453125,1952.9453125,0.0355365258115583,0.0355365258115583
"183",21,5,3,29,9,2015,0,0,0,0,52387,51125.5859375,-1261.4140625,-0.0240787611907534,0.0240787611907534
"186",2,1,6,2,10,2015,0,0,0,0,48460,49400.078125,940.078125,0.0193990533429633,0.0193990533429633
"190",6,1,5,8,10,2015,0,0,0,0,47338,46233.265625,-1104.734375,-0.0233371577802189,0.0233371577802189
"191",7,1,6,9,10,2015,0,0,0,0,37734,41398.55859375,3664.55859375,0.0971155613968834,0.0971155613968834
"192",8,2,2,12,10,2015,0,0,0,0,46597,52810.73828125,6213.73828125,0.13335060800588,0.13335060800588
"195",11,2,5,15,10,2015,0,0,0,0,46038,45436.2734375,-601.7265625,-0.0130702150940527,0.0130702150940527
"199",15,3,4,21,10,2015,0,0,0,0,51272,50536.4453125,-735.5546875,-0.0143461282473865,0.0143461282473865
"201",17,3,6,23,10,2015,0,0,0,0,37164,40174.0546875,3010.0546875,0.0809938297142396,0.0809938297142396
"203",19,4,3,27,10,2015,0,0,0,0,52976,54943.0078125,1967.0078125,0.0371301686140894,0.0371301686140894
"206",22,4,6,30,10,2015,0,0,0,0,40837,38489.5234375,-2347.4765625,-0.0574840601048069,0.0574840601048069
"208",2,1,3,3,11,2015,0,0,0,0,65192,59467.48046875,-5724.51953125,-0.0878101535656216,0.0878101535656216
"213",7,2,3,10,11,2015,0,0,0,0,60530,58110.78125,-2419.21875,-0.0399672682967124,0.0399672682967124
"214",8,2,4,11,11,2015,0,0,0,0,50450,53221.67578125,2771.67578125,0.0549390640485629,0.0549390640485629
"215",9,2,5,12,11,2015,0,0,0,0,45631,45716.8203125,85.8203125,0.00188074581972782,0.00188074581972782
"216",10,2,6,13,11,2015,0,0,0,0,41293,40276.56640625,-1016.43359375,-0.0246151549596784,0.0246151549596784
"217",11,3,2,16,11,2015,0,0,0,0,53337,51966.38671875,-1370.61328125,-0.0256972323387142,0.0256972323387142
"221",15,3,6,20,11,2015,0,0,0,0,38588,39706.9453125,1118.9453125,0.0289972352156111,0.0289972352156111
"223",17,4,3,24,11,2015,0,0,0,0,56395,56114.5703125,-280.4296875,-0.00497259841297987,0.00497259841297987
"224",21,5,2,30,11,2015,0,0,0,0,53980,45110.2734375,-8869.7265625,-0.1643150530289,0.1643150530289
"225",1,1,3,1,12,2015,0,0,0,0,60633,61244.98046875,611.98046875,0.0100931913108373,0.0100931913108373
"226",2,1,4,2,12,2015,0,0,0,0,60340,60214.98046875,-125.01953125,-0.0020719179855817,0.0020719179855817
"228",4,1,6,4,12,2015,0,0,0,0,44661,42218.18359375,-2442.81640625,-0.0546968586966257,0.0546968586966257
"237",13,3,5,17,12,2015,0,0,0,0,44502,43910.7265625,-591.2734375,-0.0132864463956676,0.0132864463956676
"246",6,1,6,8,1,2016,0,0,0,0,45158,41389.90234375,-3768.09765625,-0.083442527486824,0.083442527486824
"256",16,3,6,22,1,2016,0,0,0,0,34026,37245.75,3219.75,0.0946261682242991,0.0946261682242991
"257",17,4,2,25,1,2016,0,0,0,0,43326,47577.0703125,4251.0703125,0.0981182272192217,0.0981182272192217
"258",18,4,3,26,1,2016,0,0,0,0,48236,53958.5546875,5722.5546875,0.118636592741935,0.118636592741935
"265",4,1,5,4,2,2016,0,0,0,0,44757,46455.921875,1698.921875,0.0379587969479634,0.0379587969479634
"266",5,1,6,5,2,2016,0,0,0,0,37658,38335.37109375,677.37109375,0.0179874420773806,0.0179874420773806
"268",7,2,3,9,2,2016,0,0,0,0,53110,56371.796875,3261.796875,0.0614158703633967,0.0614158703633967
"273",12,3,3,16,2,2016,0,0,0,0,49704,51639.984375,1935.984375,0.0389502731168518,0.0389502731168518
"274",13,3,4,17,2,2016,0,0,0,0,50365,47237.7734375,-3127.2265625,-0.0620912650153877,0.0620912650153877
"275",14,3,5,18,2,2016,0,0,0,0,42690,41718.2265625,-971.7734375,-0.0227634911571797,0.0227634911571797
"279",18,4,4,24,2,2016,0,0,0,0,49333,48175.3515625,-1157.6484375,-0.0234660052601707,0.0234660052601707
"280",19,4,5,25,2,2016,0,0,0,0,43352,40990.6484375,-2361.3515625,-0.0544692646821369,0.0544692646821369
"288",6,2,3,8,3,2016,0,0,0,0,56480,57082.65625,602.65625,0.0106702593838527,0.0106702593838527
"296",14,3,6,18,3,2016,0,0,0,0,37266,37605.33203125,339.33203125,0.00910567356974186,0.00910567356974186
"298",16,4,3,22,3,2016,0,0,0,0,55553,53933.9453125,-1619.0546875,-0.0291443250139506,0.0291443250139506
"306",1,1,6,1,4,2016,0,0,0,0,45050,48257.1875,3207.1875,0.0711917314095449,0.0711917314095449
"307",2,1,2,4,4,2016,0,0,0,0,61787,58269.19921875,-3517.80078125,-0.0569343192135886,0.0569343192135886
"309",4,1,4,6,4,2016,0,0,0,0,54993,56360.44921875,1367.44921875,0.0248658778162675,0.0248658778162675
"312",7,2,2,11,4,2016,0,0,0,0,55615,52108.35546875,-3506.64453125,-0.0630521357772184,0.0630521357772184
"313",8,2,3,12,4,2016,0,0,0,0,57651,55145.5859375,-2505.4140625,-0.0434582932212798,0.0434582932212798
"318",13,3,3,19,4,2016,0,0,0,0,55135,53890.5078125,-1244.4921875,-0.0225717273510474,0.0225717273510474
"334",8,2,4,11,5,2016,0,0,0,0,50513,51589.48828125,1076.48828125,0.0213111135994694,0.0213111135994694
"338",12,3,3,17,5,2016,0,0,0,0,58931,55273.96875,-3657.03125,-0.0620561546554445,0.0620561546554445
"340",14,3,5,19,5,2016,0,0,0,0,43077,43230.6484375,153.6484375,0.00356683235833507,0.00356683235833507
"342",16,4,2,23,5,2016,0,0,0,0,49967,50436.6796875,469.6796875,0.00939979761642684,0.00939979761642684
"346",1,1,4,1,6,2016,0,0,0,0,61072,60885.76171875,-186.23828125,-0.00304948718316086,0.00304948718316086
"347",2,1,5,2,6,2016,0,0,0,0,54859,51402.00390625,-3456.99609375,-0.0630160246039848,0.0630160246039848
"351",6,2,4,8,6,2016,0,0,0,0,54936,52147.88671875,-2788.11328125,-0.0507520256525775,0.0507520256525775
"354",9,3,2,13,6,2016,0,0,0,0,50292,52657.37890625,2365.37890625,0.0470329059542273,0.0470329059542273
"359",14,4,2,20,6,2016,0,0,0,0,52155,50441.5234375,-1713.4765625,-0.0328535435241108,0.0328535435241108
"365",20,5,3,28,6,2016,0,0,0,0,55084,54587.7734375,-496.2265625,-0.0090085426348849,0.0090085426348849
"382",18,4,3,26,7,2016,0,0,0,0,57992,56635.1953125,-1356.8046875,-0.0233964113584632,0.0233964113584632
"385",21,4,6,29,7,2016,0,0,0,0,39210,38598.62109375,-611.37890625,-0.0155924230107116,0.0155924230107116
"387",2,1,3,2,8,2016,0,0,0,0,68336,62369.98046875,-5966.01953125,-0.0873041959033306,0.0873041959033306
"390",5,1,6,5,8,2016,0,0,0,0,39158,39187.0859375,29.0859375,0.000742784041575157,0.000742784041575157
"393",8,2,4,10,8,2016,0,0,0,0,52009,52808.62890625,799.62890625,0.0153748179401642,0.0153748179401642
"395",10,2,6,12,8,2016,0,0,0,0,37590,39080.01953125,1490.01953125,0.039638721235701,0.039638721235701
"397",12,3,3,16,8,2016,0,0,0,0,57317,57208.578125,-108.421875,-0.00189161810632099,0.00189161810632099
"399",14,3,5,18,8,2016,0,0,0,0,43676,43941.7421875,265.7421875,0.00608439846826632,0.00608439846826632
"401",16,4,2,22,8,2016,0,0,0,0,47638,49721.6015625,2083.6015625,0.0437382249989504,0.0437382249989504
"402",17,4,3,23,8,2016,0,0,0,0,51854,56834.6484375,4980.6484375,0.0960513834516142,0.0960513834516142
"408",23,5,4,31,8,2016,0,0,0,0,45257,47854.1015625,2597.1015625,0.0573856323331197,0.0573856323331197
"411",6,1,5,8,9,2016,0,0,0,0,51346,48393.109375,-2952.890625,-0.0575096526506446,0.0575096526506446
"413",8,2,2,12,9,2016,0,0,0,0,53531,53108.23828125,-422.76171875,-0.007897512072444,0.007897512072444
"418",13,3,2,19,9,2016,0,0,0,0,49622,50721.2890625,1099.2890625,0.0221532598948047,0.0221532598948047
"419",14,3,3,20,9,2016,0,0,0,0,57837,55837.3046875,-1999.6953125,-0.0345746721389422,0.0345746721389422
"423",18,4,2,26,9,2016,0,0,0,0,48598,51567.8515625,2969.8515625,0.0611105716799045,0.0611105716799045
"428",1,1,2,3,10,2016,0,0,0,0,57873,59544.43359375,1671.43359375,0.028881060144627,0.028881060144627
"431",4,1,5,6,10,2016,0,0,0,0,46521,48682.25,2161.25,0.0464575138109671,0.0464575138109671
"433",6,2,2,10,10,2016,0,0,0,0,51871,53198.35546875,1327.35546875,0.0255895484712074,0.0255895484712074
"436",9,2,5,13,10,2016,0,0,0,0,44754,45422.1328125,668.1328125,0.0149290077423247,0.0149290077423247
"437",10,2,6,14,10,2016,0,0,0,0,40493,39746.80078125,-746.19921875,-0.0184278571296273,0.0184278571296273
"450",2,1,4,2,11,2016,0,0,0,0,56898,59795.99609375,2897.99609375,0.0509331803182889,0.0509331803182889
"455",7,2,4,9,11,2016,0,0,0,0,52445,54347.57421875,1902.57421875,0.0362775139431786,0.0362775139431786
"456",8,2,5,10,11,2016,0,0,0,0,46211,47039.046875,828.046875,0.0179188261452901,0.0179188261452901
"464",16,4,3,22,11,2016,0,0,0,0,54000,56675.4296875,2675.4296875,0.049544994212963,0.049544994212963
"469",3,2,2,5,12,2016,0,0,0,0,56095,58357.16796875,2262.16796875,0.0403274439566806,0.0403274439566806
"477",11,3,5,15,12,2016,0,0,0,0,45940,44970.4921875,-969.5078125,-0.0211037834675664,0.0211037834675664
"482",16,4,5,22,12,2016,0,0,0,0,33819,41461.5859375,7642.5859375,0.225984977009965,0.225984977009965
"484",21,5,5,29,12,2016,0,0,0,0,35576,37801.1171875,2225.1171875,0.0625454572605127,0.0625454572605127
"487",4,1,5,5,1,2017,0,0,0,0,55967,51348.578125,-4618.421875,-0.0825204473171691,0.0825204473171691
"493",10,2,6,13,1,2017,0,0,0,0,42778,39779.38671875,-2998.61328125,-0.070097089187199,0.070097089187199
"494",11,3,2,16,1,2017,0,0,0,0,44910,49004.35546875,4094.35546875,0.0911680131095524,0.0911680131095524
"495",12,3,3,17,1,2017,0,0,0,0,53876,55521,1645,0.0305330759521865,0.0305330759521865
"508",3,1,6,3,2,2017,0,0,0,0,42730,45394.296875,2664.296875,0.0623519043997192,0.0623519043997192
"510",5,2,3,7,2,2017,0,0,0,0,54109,56579.12109375,2470.12109375,0.045650836159419,0.045650836159419
"512",7,2,5,9,2,2017,0,0,0,0,28507,44609.671875,16102.671875,0.564867291367033,0.564867291367033
"513",8,2,6,10,2,2017,0,0,0,0,32848,40109.74609375,7261.74609375,0.221071179181381,0.221071179181381
"514",9,3,2,13,2,2017,0,0,0,0,54610,50216.98828125,-4393.01171875,-0.0804433568714521,0.0804433568714521
"516",11,3,4,15,2,2017,0,0,0,0,49920,51903.62890625,1983.62890625,0.0397361559745593,0.0397361559745593
"517",12,3,5,16,2,2017,0,0,0,0,44842,45076.5859375,234.5859375,0.00523138882074841,0.00523138882074841
"527",2,1,5,2,3,2017,0,0,0,0,48935,51054.34765625,2119.34765625,0.0433094442883417,0.0433094442883417
"529",4,2,2,6,3,2017,0,0,0,0,51060,54718.88671875,3658.88671875,0.0716585726351351,0.0716585726351351
"531",6,2,4,8,3,2017,0,0,0,0,53704,52267.33984375,-1436.66015625,-0.0267514553152465,0.0267514553152465
"534",9,3,2,13,3,2017,0,0,0,0,43567,53687.92578125,10120.92578125,0.232307154067299,0.232307154067299
"538",14,4,2,20,3,2017,0,0,0,0,52537,49882.6953125,-2654.3046875,-0.0505225781354093,0.0505225781354093
"539",15,4,3,21,3,2017,0,0,0,0,54809,53998.7890625,-810.2109375,-0.0147824433487201,0.0147824433487201
"541",17,4,5,23,3,2017,0,0,0,0,42531,42692.9921875,161.9921875,0.00380880269685641,0.00380880269685641
"542",18,4,6,24,3,2017,0,0,0,0,40242,38095.28125,-2146.71875,-0.0533452301078475,0.0533452301078475
"555",8,2,4,12,4,2017,0,0,0,0,46677,51108.39453125,4431.39453125,0.0949374323810442,0.0949374323810442
"557",10,2,6,14,4,2017,0,0,0,0,31675,39191.49609375,7516.49609375,0.237300587016575,0.237300587016575
"561",14,3,5,20,4,2017,0,0,0,0,43766,42799.4765625,-966.5234375,-0.0220838878924279,0.0220838878924279
"562",15,3,6,21,4,2017,0,0,0,0,37289,37234.109375,-54.890625,-0.00147203263697069,0.00147203263697069
"568",1,1,2,1,5,2017,0,0,0,0,54347,58386.30859375,4039.30859375,0.0743244078559994,0.0743244078559994
"574",7,2,3,9,5,2017,0,0,0,0,61018,58895.546875,-2122.453125,-0.0347840493788718,0.0347840493788718
"575",8,2,4,10,5,2017,0,0,0,0,52424,51842.84765625,-581.15234375,-0.0110856162015489,0.0110856162015489
"584",17,4,3,23,5,2017,0,0,0,0,54982,55120.8984375,138.8984375,0.00252625291004329,0.00252625291004329
"588",1,1,5,1,6,2017,0,0,0,0,54876,53767.31640625,-1108.68359375,-0.0202034330809461,0.0202034330809461
"589",2,1,6,2,6,2017,0,0,0,0,50945,47946.71875,-2998.28125,-0.0588532976739621,0.0588532976739621
"591",4,1,3,6,6,2017,0,0,0,0,60886,60886.30859375,0.30859375,5.0683860000657e-06,5.0683860000657e-06
"598",11,2,5,15,6,2017,0,0,0,0,47382,44730.9609375,-2651.0390625,-0.0559503411105483,0.0559503411105483
"599",12,2,6,16,6,2017,0,0,0,0,39248,39415.16796875,167.16796875,0.00425927356171015,0.00425927356171015
"600",13,3,2,19,6,2017,0,0,0,0,52918,51160.5078125,-1757.4921875,-0.0332116139593333,0.0332116139593333
"614",7,2,4,12,7,2017,0,0,0,0,53767,54688.43359375,921.43359375,0.0171375303392415,0.0171375303392415
"615",8,2,5,13,7,2017,0,0,0,0,49354,47541.46875,-1812.53125,-0.0367251134659805,0.0367251134659805
"617",10,3,2,17,7,2017,0,0,0,0,56527,53256.234375,-3270.765625,-0.057862006209422,0.057862006209422
