"","WORKDAY","MONTHWEEK","WEEKDAY","MONTHDAY","MONTH","YEAR","BEFVAC","AFTVAC","BEFCHR","AFTCHR","WHSLINES","forecastlines","delta","error_rate","error_rate_abs"
"1",2,1,6,2,1,2015,0,0,0,0,29694,34511.5,4817.5,0.162238162591769,0.162238162591769
"4",5,1,4,7,1,2015,0,0,0,0,31991,37750.61328125,5759.61328125,0.180038550881498,0.180038550881498
"6",7,1,6,9,1,2015,0,0,0,0,23329,25125.568359375,1796.568359375,0.0770100887039736,0.0770100887039736
"9",10,2,4,14,1,2015,0,0,0,0,27868,28249.6015625,381.6015625,0.0136931807987656,0.0136931807987656
"10",11,2,5,15,1,2015,0,0,0,0,23149,23053.654296875,-95.345703125,-0.00411878280379282,0.00411878280379282
"17",18,4,2,26,1,2015,0,0,0,0,23601,24299.84375,698.84375,0.0296107686114995,0.0296107686114995
"18",19,4,3,27,1,2015,0,0,0,0,26058,26504.375,446.375,0.0171300560288587,0.0171300560288587
"26",5,1,6,6,2,2015,0,0,0,0,23802,25125.546875,1323.546875,0.0556065404167717,0.0556065404167717
"36",15,3,6,20,2,2015,0,0,0,0,18665,20943.7109375,2278.7109375,0.122084700642915,0.122084700642915
"37",16,4,2,23,2,2015,0,0,0,0,23453,23936.0546875,483.0546875,0.0205967120411035,0.0205967120411035
"44",3,1,4,4,3,2015,0,0,0,0,35051,36723.29296875,1672.29296875,0.0477102784157371,0.0477102784157371
"45",4,1,5,5,3,2015,0,0,0,0,25698,25311.4453125,-386.5546875,-0.0150422090240486,0.0150422090240486
"47",6,2,2,9,3,2015,0,0,0,0,30262,28890.2734375,-1371.7265625,-0.045328351149957,0.045328351149957
"50",9,2,5,12,3,2015,0,0,0,0,22657,22968.458984375,311.458984375,0.0137467001092378,0.0137467001092378
"62",22,5,3,31,3,2015,0,0,0,0,28017,27571.6015625,-445.3984375,-0.0158974350394403,0.0158974350394403
"63",1,1,4,1,4,2015,0,0,0,0,37476,37518.40625,42.40625,0.00113155753015263,0.00113155753015263
"66",4,2,2,6,4,2015,0,0,0,0,26932,31978.28125,5046.28125,0.187371203401158,0.187371203401158
"81",19,5,2,27,4,2015,0,0,0,0,25124,24576.71875,-547.28125,-0.0217832053017036,0.0217832053017036
"93",9,2,4,13,5,2015,0,0,0,0,27016,27782.140625,766.140625,0.0283587735045899,0.0283587735045899
"104",2,1,3,2,6,2015,0,0,0,0,43091,42625.12890625,-465.87109375,-0.0108113316875914,0.0108113316875914
"112",10,2,6,12,6,2015,0,0,0,0,21836,20622.912109375,-1213.087890625,-0.0555544921517219,0.0555544921517219
"116",14,3,5,18,6,2015,0,0,0,0,23855,22772.869140625,-1082.130859375,-0.0453628530444351,0.0453628530444351
"122",21,5,2,29,6,2015,0,0,0,0,22717,24376.2890625,1659.2890625,0.0730417336135933,0.0730417336135933
"127",7,2,5,9,7,2015,0,0,0,0,23003,23896.896484375,893.896484375,0.0388599958429335,0.0388599958429335
"130",10,3,3,14,7,2015,0,0,0,0,30131,30700.205078125,569.205078125,0.0188910118524111,0.0188910118524111
"135",15,4,3,21,7,2015,0,0,0,0,29435,27970.8203125,-1464.1796875,-0.0497428125530831,0.0497428125530831
"154",11,3,2,17,8,2015,0,0,0,0,29142,28575.421875,-566.578125,-0.0194419780728845,0.0194419780728845
"162",19,4,5,27,8,2015,0,0,0,0,23461,22311.48828125,-1149.51171875,-0.0489967059694813,0.0489967059694813
"164",21,5,2,31,8,2015,0,0,0,0,26380,26515.9375,135.9375,0.00515305155420773,0.00515305155420773
"169",8,2,5,10,9,2015,0,0,0,0,25426,24546.544921875,-879.455078125,-0.0345888098059073,0.0345888098059073
"170",9,2,6,11,9,2015,0,0,0,0,22573,21987.599609375,-585.400390625,-0.0259336548365304,0.0259336548365304
"173",12,3,4,16,9,2015,0,0,0,0,29922,29906.9453125,-15.0546875,-0.000503131057415948,0.000503131057415948
"177",16,4,3,22,9,2015,0,0,0,0,29484,28785.1171875,-698.8828125,-0.0237037990944241,0.0237037990944241
"178",17,4,4,23,9,2015,0,0,0,0,25808,28261.1328125,2453.1328125,0.0950531932927774,0.0950531932927774
"179",18,4,5,24,9,2015,0,0,0,0,23423,23241.95703125,-181.04296875,-0.00772928184903727,0.00772928184903727
"183",22,5,4,30,9,2015,0,0,0,0,26785,28066.875,1281.875,0.0478579428784768,0.0478579428784768
"188",5,1,4,7,10,2015,0,0,0,0,32019,32168.697265625,149.697265625,0.00467526361301102,0.00467526361301102
"192",9,2,3,13,10,2015,0,0,0,0,30245,30562.705078125,317.705078125,0.0105043834724748,0.0105043834724748
"195",12,2,6,16,10,2015,0,0,0,0,24209,22162.404296875,-2046.595703125,-0.0845386303905572,0.0845386303905572
"201",18,4,2,26,10,2015,0,0,0,0,24376,26038.8671875,1662.8671875,0.0682173936453889,0.0682173936453889
"205",22,4,6,30,10,2015,0,0,0,0,22431,21717.87109375,-713.12890625,-0.0317921138714279,0.0317921138714279
"214",9,2,5,12,11,2015,0,0,0,0,22024,24451.427734375,2427.427734375,0.110217387140165,0.110217387140165
"221",16,4,2,23,11,2015,0,0,0,0,26363,27883.828125,1520.828125,0.0576879765201229,0.0576879765201229
"222",17,4,3,24,11,2015,0,0,0,0,28435,30082.265625,1647.265625,0.0579309170036926,0.0579309170036926
"225",2,1,4,2,12,2015,0,0,0,0,40452,39259.03515625,-1192.96484375,-0.0294908742151192,0.0294908742151192
"226",3,1,5,3,12,2015,0,0,0,0,30846,31691.52734375,845.52734375,0.0274112476090903,0.0274112476090903
"230",7,2,4,9,12,2015,0,0,0,0,36095,30275.4140625,-5819.5859375,-0.161229697672808,0.161229697672808
"231",8,2,5,10,12,2015,0,0,0,0,23475,23112.638671875,-362.361328125,-0.0154360523162939,0.0154360523162939
"236",13,3,5,17,12,2015,0,0,0,0,22437,24378.498046875,1941.498046875,0.0865310891329055,0.0865310891329055
"237",14,3,6,18,12,2015,0,0,0,0,21776,22495.705078125,719.705078125,0.0330503801490173,0.0330503801490173
"242",4,1,4,6,1,2016,0,0,0,0,47884,38978.984375,-8905.015625,-0.185970587774622,0.185970587774622
