"","WORKDAY","MONTHWEEK","WEEKDAY","MONTHDAY","MONTH","YEAR","BEFVAC","AFTVAC","BEFCHR","AFTCHR","WHSLINES","forecastlines","delta","error_rate","error_rate_abs"
"1",2,1,6,2,1,2015,0,0,0,0,40990,49330.27734375,8340.27734375,0.20347102570749,0.20347102570749
"4",5,1,4,7,1,2015,0,0,0,0,55027,55872.2109375,845.2109375,0.0153599312610173,0.0153599312610173
"5",6,1,5,8,1,2015,0,0,0,0,47363,44503.13671875,-2859.86328125,-0.0603818018548234,0.0603818018548234
"6",7,1,6,9,1,2015,0,0,0,0,38477,38062.4921875,-414.5078125,-0.010772872430283,0.010772872430283
"11",12,2,6,16,1,2015,0,0,0,0,34427,35058.2578125,631.2578125,0.0183361260783687,0.0183361260783687
"23",2,1,3,3,2,2015,0,0,0,0,59015,63256.33984375,4241.33984375,0.0718688442556977,0.0718688442556977
"26",5,1,6,6,2,2015,0,0,0,0,36759,34632.28125,-2126.71875,-0.0578557292091733,0.0578557292091733
"30",9,2,5,12,2,2015,0,0,0,0,39765,39153.54296875,-611.45703125,-0.0153767642713441,0.0153767642713441
"38",17,4,3,24,2,2015,0,0,0,0,48053,48010.1015625,-42.8984375,-0.000892731723305517,0.000892731723305517
"42",1,1,2,2,3,2015,0,0,0,0,52897,45786.51953125,-7110.48046875,-0.134421242579919,0.134421242579919
"55",14,3,5,19,3,2015,0,0,0,0,39651,39304.40234375,-346.59765625,-0.00874120844997604,0.00874120844997604
"58",17,4,3,24,3,2015,0,0,0,0,50629,48697.9140625,-1931.0859375,-0.0381418937269154,0.0381418937269154
"59",18,4,4,25,3,2015,0,0,0,0,41858,42819.80859375,961.80859375,0.0229778917709876,0.0229778917709876
"61",20,4,6,27,3,2015,0,0,0,0,34945,33734.6640625,-1210.3359375,-0.0346354539276005,0.0346354539276005
"64",1,1,4,1,4,2015,0,0,0,0,48905,55313.53125,6408.53125,0.13104040997853,0.13104040997853
"78",15,4,3,21,4,2015,0,0,0,0,53014,52100.5703125,-913.4296875,-0.0172299710925416,0.0172299710925416
"80",17,4,5,23,4,2015,0,0,0,0,39781,40152.09765625,371.09765625,0.00932851502601745,0.00932851502601745
"92",7,2,2,11,5,2015,0,0,0,0,48155,49434.69140625,1279.69140625,0.0265744243847991,0.0265744243847991
"96",11,2,6,15,5,2015,0,0,0,0,36400,37030.640625,630.640625,0.0173252918956044,0.0173252918956044
"103",1,1,2,1,6,2015,0,0,0,0,52427,54239.01953125,1812.01953125,0.0345627163722891,0.0345627163722891
"107",5,1,6,5,6,2015,0,0,0,0,36618,38910.65625,2292.65625,0.0626100893003441,0.0626100893003441
"115",13,3,4,17,6,2015,0,0,0,0,47776,50423.80078125,2647.80078125,0.0554211483014484,0.0554211483014484
"125",1,1,4,1,7,2015,0,0,0,0,55519,58886.109375,3367.109375,0.0606478750517841,0.0606478750517841
"127",6,2,4,8,7,2015,0,0,0,0,52996,52737.546875,-258.453125,-0.00487684212016001,0.00487684212016001
"128",7,2,5,9,7,2015,0,0,0,0,44594,44170.7109375,-423.2890625,-0.00949206311387182,0.00949206311387182
"132",11,3,4,15,7,2015,0,0,0,0,50863,50593.95703125,-269.04296875,-0.00528956154277176,0.00528956154277176
"144",23,5,6,31,7,2015,0,0,0,0,38922,38217.1640625,-704.8359375,-0.018108934214583,0.018108934214583
"151",7,2,3,11,8,2015,0,0,0,0,57245,58332.0078125,1087.0078125,0.0189886944274609,0.0189886944274609
"156",12,3,3,18,8,2015,0,0,0,0,60847,57433.5390625,-3413.4609375,-0.0560990835620491,0.0560990835620491
"159",15,3,6,21,8,2015,0,0,0,0,38568,36956.3828125,-1611.6171875,-0.0417863821691558,0.0417863821691558
"161",17,4,3,25,8,2015,0,0,0,0,55133,53720.7265625,-1412.2734375,-0.025615755309887,0.025615755309887
"162",18,4,4,26,8,2015,0,0,0,0,48346,48659.046875,313.046875,0.00647513496462996,0.00647513496462996
"166",1,1,3,1,9,2015,0,0,0,0,60261,62022.74609375,1761.74609375,0.0292352615082723,0.0292352615082723
"170",8,2,5,10,9,2015,0,0,0,0,50628,46597.7421875,-4030.2578125,-0.0796053135122857,0.0796053135122857
"172",10,3,2,14,9,2015,0,0,0,0,49776,49444.90625,-331.09375,-0.00665167450176792,0.00665167450176792
"175",13,3,5,17,9,2015,0,0,0,0,43726,45808.3046875,2082.3046875,0.0476216595961213,0.0476216595961213
