"","WORKDAY","MONTHWEEK","WEEKDAY","MONTHDAY","MONTH","YEAR","BEFVAC","AFTVAC","BEFCHR","AFTCHR","WHSLINES","forecastlines","delta","error_rate","error_rate_abs"
"4",6,1,5,8,1,2015,0,0,0,0,29209,28109.0625,-1099.9375,-0.0376574857064603,0.0376574857064603
"5",7,1,6,9,1,2015,0,0,0,0,26195,22805.11328125,-3389.88671875,-0.129409685770185,0.129409685770185
"8",10,2,4,14,1,2015,0,0,0,0,26135,26915.71875,780.71875,0.0298725368280084,0.0298725368280084
"10",12,2,6,16,1,2015,0,0,0,0,21096,22136.369140625,1040.369140625,0.0493159433364145,0.0493159433364145
"14",16,3,5,22,1,2015,0,0,0,0,23205,22754.2578125,-450.7421875,-0.0194243562809739,0.0194243562809739
"17",19,4,3,27,1,2015,0,0,0,0,26326,25605.05859375,-720.94140625,-0.027385148000076,0.027385148000076
"20",22,4,6,30,1,2015,0,0,0,0,20696,19645.12890625,-1050.87109375,-0.0507765313949555,0.0507765313949555
"23",3,1,4,4,2,2015,0,0,0,0,29818,31239.748046875,1421.748046875,0.0476808654797438,0.0476808654797438
"24",5,1,6,6,2,2015,0,0,0,0,22982,23751.447265625,769.447265625,0.0334804310166652,0.0334804310166652
"27",8,2,4,11,2,2015,0,0,0,0,25685,26239.3515625,554.3515625,0.021582696612809,0.021582696612809
"31",14,3,5,19,2,2015,0,0,0,0,24373,23410.298828125,-962.701171875,-0.0394986736091166,0.0394986736091166
"49",15,3,6,20,3,2015,0,0,0,0,21091,21427.70703125,336.70703125,0.0159644887037125,0.0159644887037125
"53",19,4,5,26,3,2015,0,0,0,0,21515,22059.724609375,544.724609375,0.0253183643678829,0.0253183643678829
"55",21,5,2,30,3,2015,0,0,0,0,20252,23024.90234375,2772.90234375,0.136919926118408,0.136919926118408
"60",4,2,2,6,4,2015,0,0,0,0,29798,31799.47265625,2001.47265625,0.067168019875495,0.067168019875495
"69",13,3,6,17,4,2015,0,0,0,0,20010,21974.494140625,1964.494140625,0.0981756192216392,0.0981756192216392
"73",17,4,5,23,4,2015,0,0,0,0,23540,23049.2578125,-490.7421875,-0.0208471617459643,0.0208471617459643
"83",6,1,6,8,5,2015,0,0,0,0,22180,26131.994140625,3951.994140625,0.178178275050721,0.178178275050721
"103",8,2,4,10,6,2015,0,0,0,0,30187,27972.04296875,-2214.95703125,-0.073374533118561,0.073374533118561
