"","WORKDAY","MONTHWEEK","WEEKDAY","MONTHDAY","MONTH","YEAR","BEFVAC","AFTVAC","BEFCHR","AFTCHR","WHSLINES","forecastlines","delta","error_rate","error_rate_abs"
"3",5,1,4,7,1,2015,0,0,0,0,57226,55371.25,-1854.75,-0.0324109670429525,0.0324109670429525
"4",6,1,5,8,1,2015,0,0,0,0,54014,46819.35546875,-7194.64453125,-0.133199624750065,0.133199624750065
"5",7,1,6,9,1,2015,0,0,0,0,41310,39620.9609375,-1689.0390625,-0.040886929617526,0.040886929617526
"9",11,2,5,15,1,2015,0,0,0,0,45576,41951.1484375,-3624.8515625,-0.079534218941987,0.079534218941987
"10",12,2,6,16,1,2015,0,0,0,0,37190,38496.8828125,1306.8828125,0.0351407048265663,0.0351407048265663
"17",19,4,3,27,1,2015,0,0,0,0,36232,45352.359375,9120.359375,0.251721113242438,0.251721113242438
"21",1,1,2,2,2,2015,0,0,0,0,44292,54149.92578125,9857.92578125,0.222566733975662,0.222566733975662
"23",3,1,4,4,2,2015,0,0,0,0,53050,48968.67578125,-4081.32421875,-0.0769335385249764,0.0769335385249764
"30",10,2,6,13,2,2015,0,0,0,0,37844,36886.7265625,-957.2734375,-0.0252952499075151,0.0252952499075151
"31",11,3,2,16,2,2015,0,0,0,0,39433,44839.6640625,5406.6640625,0.137110137765323,0.137110137765323
"50",10,2,6,13,3,2015,0,0,0,0,38261,38301.1796875,40.1796875,0.00105014734324769,0.00105014734324769
"51",11,3,2,16,3,2015,0,0,0,0,49053,47990.6015625,-1062.3984375,-0.0216581745764785,0.0216581745764785
"52",12,3,3,17,3,2015,0,0,0,0,51051,51235.640625,184.640625,0.00361678762414057,0.00361678762414057
"65",3,1,6,3,4,2015,0,0,0,0,35119,41011.96484375,5892.96484375,0.167799904432074,0.167799904432074
"66",4,2,2,6,4,2015,0,0,0,0,48506,52376.88671875,3870.88671875,0.0798022248536264,0.0798022248536264
"79",17,4,5,23,4,2015,0,0,0,0,40896,41951.02734375,1055.02734375,0.025797812591696,0.025797812591696
"85",1,1,6,1,5,2015,0,0,0,0,52543,47271.57421875,-5271.42578125,-0.100325938398074,0.100325938398074
"102",21,4,6,29,5,2015,0,0,0,0,41487,39809.921875,-1677.078125,-0.0404241840817606,0.0404241840817606
"108",6,2,2,8,6,2015,0,0,0,0,50651,51110.30078125,459.30078125,0.00906795090422696,0.00906795090422696
"109",7,2,3,9,6,2015,0,0,0,0,59101,56203.078125,-2897.921875,-0.0490333814148661,0.0490333814148661
"126",2,1,5,2,7,2015,0,0,0,0,45212,52151.74609375,6939.74609375,0.153493455139122,0.153493455139122
"136",15,4,3,21,7,2015,0,0,0,0,53667,55358.921875,1691.921875,0.0315262987496972,0.0315262987496972
"137",16,4,4,22,7,2015,0,0,0,0,53477,50714.703125,-2762.296875,-0.0516539236494194,0.0516539236494194
"142",21,5,4,29,7,2015,0,0,0,0,53067,49527.75,-3539.25,-0.0666939906156368,0.0666939906156368
"144",23,5,6,31,7,2015,0,0,0,0,38048,39760.09375,1712.09375,0.0449982587783852,0.0449982587783852
"147",3,1,4,5,8,2015,0,0,0,0,55558,61410.31640625,5852.31640625,0.105337060481839,0.105337060481839
"152",8,2,4,12,8,2015,0,0,0,0,52353,52368.140625,15.140625,0.000289202624491433,0.000289202624491433
"161",17,4,3,25,8,2015,0,0,0,0,56386,54138.609375,-2247.390625,-0.0398572451495052,0.0398572451495052
"169",7,2,4,9,9,2015,0,0,0,0,58538,54044.171875,-4493.828125,-0.0767677085824593,0.0767677085824593
"194",10,2,4,14,10,2015,0,0,0,0,50861,52276.65625,1415.65625,0.0278338265075402,0.0278338265075402
"195",11,2,5,15,10,2015,0,0,0,0,46038,45536.69921875,-501.30078125,-0.0108888479354012,0.0108888479354012
"197",13,3,2,19,10,2015,0,0,0,0,49642,50629.5859375,987.5859375,0.0198941609423472,0.0198941609423472
"204",20,4,4,28,10,2015,0,0,0,0,51918,50512.671875,-1405.328125,-0.0270682253746292,0.0270682253746292
"210",4,1,5,5,11,2015,0,0,0,0,45711,47385.52734375,1674.52734375,0.0366329186355582,0.0366329186355582
"216",10,2,6,13,11,2015,0,0,0,0,41293,39952.046875,-1340.953125,-0.0324741027534933,0.0324741027534933
"217",11,3,2,16,11,2015,0,0,0,0,53337,52162.7890625,-1174.2109375,-0.0220149415508934,0.0220149415508934
"220",14,3,5,19,11,2015,0,0,0,0,45450,44405.9609375,-1044.0390625,-0.0229711564906491,0.0229711564906491
"221",15,3,6,20,11,2015,0,0,0,0,38588,39059.9765625,471.9765625,0.0122311745231678,0.0122311745231678
"223",17,4,3,24,11,2015,0,0,0,0,56395,55887.75,-507.25,-0.00899459171912404,0.00899459171912404
"227",3,1,5,3,12,2015,0,0,0,0,53906,51464.55859375,-2441.44140625,-0.0452907172902831,0.0452907172902831
"229",5,2,2,7,12,2015,0,0,0,0,55519,55880.32421875,361.32421875,0.0065081182793278,0.0065081182793278
"230",6,2,3,8,12,2015,0,0,0,0,62991,58596.4375,-4394.5625,-0.0697649267355654,0.0697649267355654
"232",8,2,5,10,12,2015,0,0,0,0,47364,47481.69921875,117.69921875,0.00248499321742251,0.00248499321742251
"235",11,3,3,15,12,2015,0,0,0,0,56178,56022.90625,-155.09375,-0.00276075598988928,0.00276075598988928
"236",12,3,4,16,12,2015,0,0,0,0,55474,52103.84375,-3370.15625,-0.0607519964307604,0.0607519964307604
"237",13,3,5,17,12,2015,0,0,0,0,44502,45273.18359375,771.18359375,0.0173291895588962,0.0173291895588962
"244",4,1,4,6,1,2016,0,0,0,0,61458,56982.421875,-4475.578125,-0.0728233610758567,0.0728233610758567
"250",10,2,5,14,1,2016,0,0,0,0,44782,44386.5390625,-395.4609375,-0.00883080115894779,0.00883080115894779
"255",15,3,5,21,1,2016,0,0,0,0,42525,41741.34375,-783.65625,-0.0184281305114638,0.0184281305114638
"260",20,4,5,28,1,2016,0,0,0,0,41537,39376.5,-2160.5,-0.0520138671545851,0.0520138671545851
"261",21,4,6,29,1,2016,0,0,0,0,39542,36974.08984375,-2567.91015625,-0.064941332159476,0.064941332159476
"270",9,2,5,11,2,2016,0,0,0,0,45403,42436.46484375,-2966.53515625,-0.0653378665781997,0.0653378665781997
"271",10,2,6,12,2,2016,0,0,0,0,37120,36954.3828125,-165.6171875,-0.004461669921875,0.004461669921875
"282",21,5,2,29,2,2016,0,0,0,0,52106,45138.1796875,-6967.8203125,-0.133723953335508,0.133723953335508
"285",3,1,5,3,3,2016,0,0,0,0,49364,45272.13671875,-4091.86328125,-0.0828916473796694,0.0828916473796694
"287",5,2,2,7,3,2016,0,0,0,0,55290,53160.94921875,-2129.05078125,-0.0385069774145415,0.0385069774145415
"289",7,2,4,9,3,2016,0,0,0,0,49837,50553.390625,716.390625,0.0143746739370347,0.0143746739370347
"292",10,3,2,14,3,2016,0,0,0,0,53417,49712.0859375,-3704.9140625,-0.0693583327873149,0.0693583327873149
"296",14,3,6,18,3,2016,0,0,0,0,37266,37716.51953125,450.51953125,0.0120892913446573,0.0120892913446573
"300",18,4,5,24,3,2016,0,0,0,0,38792,42659.546875,3867.546875,0.0996995997886162,0.0996995997886162
"304",22,5,4,30,3,2016,0,0,0,0,49434,48589.078125,-844.921875,-0.0170919180118946,0.0170919180118946
"306",1,1,6,1,4,2016,0,0,0,0,45050,48011.10546875,2961.10546875,0.06572931118202,0.06572931118202
"315",10,2,5,14,4,2016,0,0,0,0,43946,43166.3046875,-779.6953125,-0.0177421224343512,0.0177421224343512
"318",13,3,3,19,4,2016,0,0,0,0,55135,53698.140625,-1436.859375,-0.0260607486170309,0.0260607486170309
"331",5,1,6,6,5,2016,0,0,0,0,39193,39150.9609375,-42.0390625,-0.00107261660245452,0.00107261660245452
"338",12,3,3,17,5,2016,0,0,0,0,58931,55112.203125,-3818.796875,-0.0648011551645144,0.0648011551645144
"343",17,4,3,24,5,2016,0,0,0,0,58512,55142.90625,-3369.09375,-0.0575795349671862,0.0575795349671862
"345",19,4,5,26,5,2016,0,0,0,0,42481,43817.2109375,1336.2109375,0.0314543192839152,0.0314543192839152
"348",3,1,6,3,6,2016,0,0,0,0,42250,46536.96484375,4286.96484375,0.10146662352071,0.10146662352071
"349",4,2,2,6,6,2016,0,0,0,0,57830,56536.41796875,-1293.58203125,-0.0223687019064499,0.0223687019064499
"351",6,2,4,8,6,2016,0,0,0,0,54936,53264.09375,-1671.90625,-0.0304337092252803,0.0304337092252803
"352",7,2,5,9,6,2016,0,0,0,0,42010,44517.01171875,2507.01171875,0.0596765465067841,0.0596765465067841
