"","WORKDAY","MONTHWEEK","WEEKDAY","MONTHDAY","MONTH","YEAR","BEFVAC","AFTVAC","BEFCHR","AFTCHR","WHSLINES","forecastlines","delta","error_rate","error_rate_abs"
"1",2,1,6,2,1,2015,0,0,0,0,40990,46179.95703125,5189.95703125,0.126615199591364,0.126615199591364
"4",5,1,4,7,1,2015,0,0,0,0,55027,57469.20703125,2442.20703125,0.0443819766887164,0.0443819766887164
"5",6,1,5,8,1,2015,0,0,0,0,47363,46217.30859375,-1145.69140625,-0.0241895869402276,0.0241895869402276
"6",7,1,6,9,1,2015,0,0,0,0,38477,38801.6875,324.6875,0.00843848272994256,0.00843848272994256
"14",15,3,4,21,1,2015,0,0,0,0,48500,45511.2734375,-2988.7265625,-0.0616232280927835,0.0616232280927835
"16",17,3,6,23,1,2015,0,0,0,0,33063,33791.60546875,728.60546875,0.0220368831851314,0.0220368831851314
"25",4,1,5,5,2,2015,0,0,0,0,40998,40189.59375,-808.40625,-0.0197181874725596,0.0197181874725596
"30",9,2,5,12,2,2015,0,0,0,0,39765,39163.8203125,-601.1796875,-0.0151183122720986,0.0151183122720986
"31",10,2,6,13,2,2015,0,0,0,0,33572,34382.546875,810.546875,0.0241435385142381,0.0241435385142381
"44",3,1,4,4,3,2015,0,0,0,0,52256,55440.6015625,3184.6015625,0.060942314040493,0.060942314040493
"46",5,1,6,6,3,2015,0,0,0,0,33511,35908.13671875,2397.13671875,0.0715328315702307,0.0715328315702307
"49",8,2,4,11,3,2015,0,0,0,0,47441,46328.92578125,-1112.07421875,-0.023441205260218,0.023441205260218
"64",1,1,4,1,4,2015,0,0,0,0,48905,55578.8046875,6673.8046875,0.136464670023515,0.136464670023515
"81",18,4,6,24,4,2015,0,0,0,0,33534,34614.1796875,1080.1796875,0.0322114775302678,0.0322114775302678
"91",6,1,6,8,5,2015,0,0,0,0,38485,38284.671875,-200.328125,-0.00520535598285046,0.00520535598285046
"95",10,2,5,14,5,2015,0,0,0,0,43231,40722.1796875,-2508.8203125,-0.0580329002914575,0.0580329002914575
"117",15,3,6,19,6,2015,0,0,0,0,35748,36566.98046875,818.98046875,0.0229098262490209,0.0229098262490209
"123",21,5,2,29,6,2015,0,0,0,0,41346,46743.2265625,5397.2265625,0.130538058397427,0.130538058397427
