"","WORKDAY","MONTHWEEK","WEEKDAY","MONTHDAY","MONTH","YEAR","BEFVAC","AFTVAC","BEFCHR","AFTCHR","WHSLINES","forecastlines","delta","error_rate","error_rate_abs"
"1",2,1,6,2,1,2015,0,0,0,0,40990,52200.890625,11210.890625,0.273503064771896,0.273503064771896
"4",5,1,4,7,1,2015,0,0,0,0,55027,56946.2421875,1919.2421875,0.0348781904792193,0.0348781904792193
"5",6,1,5,8,1,2015,0,0,0,0,47363,47549.87890625,186.87890625,0.00394567291451133,0.00394567291451133
"6",7,1,6,9,1,2015,0,0,0,0,38477,42414.81640625,3937.81640625,0.102342085044312,0.102342085044312
"12",13,3,2,19,1,2015,0,0,0,0,44971,43421.91015625,-1549.08984375,-0.0344464175524227,0.0344464175524227
"16",17,3,6,23,1,2015,0,0,0,0,33063,34412.5859375,1349.5859375,0.0408186171097602,0.0408186171097602
"19",20,4,4,28,1,2015,0,0,0,0,43492,43678.70703125,186.70703125,0.00429290516071921,0.00429290516071921
"23",2,1,3,3,2,2015,0,0,0,0,59015,61006.37109375,1991.37109375,0.0337434735872236,0.0337434735872236
"30",9,2,5,12,2,2015,0,0,0,0,39765,39018.86328125,-746.13671875,-0.0187636544385766,0.0187636544385766
"31",10,2,6,13,2,2015,0,0,0,0,33572,34200.2421875,628.2421875,0.0187132785505779,0.0187132785505779
"36",15,3,6,20,2,2015,0,0,0,0,34356,33802.4296875,-553.5703125,-0.0161127696035627,0.0161127696035627
"44",3,1,4,4,3,2015,0,0,0,0,52256,54703.00390625,2447.00390625,0.0468272333559783,0.0468272333559783
"46",5,1,6,6,3,2015,0,0,0,0,33511,36592.09765625,3081.09765625,0.0919428741681836,0.0919428741681836
"49",8,2,4,11,3,2015,0,0,0,0,47441,46245.7734375,-1195.2265625,-0.0251939580215425,0.0251939580215425
"66",3,1,6,3,4,2015,0,0,0,0,37102,41740.109375,4638.109375,0.125009686135518,0.125009686135518
"67",4,2,2,6,4,2015,0,0,0,0,48938,52439.68359375,3501.68359375,0.071553467525236,0.071553467525236
"72",9,3,2,13,4,2015,0,0,0,0,47139,46623.00390625,-515.99609375,-0.0109462672892934,0.0109462672892934
"75",12,3,5,16,4,2015,0,0,0,0,39107,40288.23828125,1181.23828125,0.0302052901334799,0.0302052901334799
"83",20,5,3,28,4,2015,0,0,0,0,47202,50192.99609375,2990.99609375,0.0633658763135037,0.0633658763135037
"85",22,5,5,30,4,2015,0,0,0,0,41137,38554.48828125,-2582.51171875,-0.0627783192442327,0.0627783192442327
"91",6,1,6,8,5,2015,0,0,0,0,38485,38834.07421875,349.07421875,0.00907039674548525,0.00907039674548525
"106",4,1,5,4,6,2015,0,0,0,0,44839,43282.7734375,-1556.2265625,-0.0347069863846205,0.0347069863846205
"109",7,2,3,9,6,2015,0,0,0,0,56753,55311.953125,-1441.046875,-0.0253915541909679,0.0253915541909679
