"","WORKDAY","MONTHWEEK","WEEKDAY","MONTHDAY","MONTH","YEAR","BEFVAC","AFTVAC","BEFCHR","AFTCHR","WHSLINES","forecastlines","delta","error_rate","error_rate_abs"
"4",6,1,5,8,1,2015,0,0,0,0,39680,37813.84765625,-1866.15234375,-0.0470300489856351,0.0470300489856351
"5",7,1,6,9,1,2015,0,0,0,0,31933,33043.51171875,1110.51171875,0.0347763040976419,0.0347763040976419
"6",8,2,2,12,1,2015,0,0,0,0,34757,33691.765625,-1065.234375,-0.0306480529102051,0.0306480529102051
"9",11,2,5,15,1,2015,0,0,0,0,31672,32379.265625,707.265625,0.0223309429464511,0.0223309429464511
"11",13,3,2,19,1,2015,0,0,0,0,30406,34116.3828125,3710.3828125,0.122027981730579,0.122027981730579
"15",17,3,6,23,1,2015,0,0,0,0,27337,30169.458984375,2832.458984375,0.103612648951055,0.103612648951055
"26",6,2,2,9,2,2015,0,0,0,0,33918,34070.1640625,152.1640625,0.00448623334217819,0.00448623334217819
"27",7,2,3,10,2,2015,0,0,0,0,41810,40807.046875,-1002.953125,-0.0239883550585984,0.0239883550585984
"30",10,2,6,13,2,2015,0,0,0,0,26534,28173.130859375,1639.130859375,0.0617747365408532,0.0617747365408532
"31",11,3,2,16,2,2015,0,0,0,0,26215,31290.90625,5075.90625,0.193626025176426,0.193626025176426
"34",14,3,5,19,2,2015,0,0,0,0,31002,32727.37890625,1725.37890625,0.0556537935052577,0.0556537935052577
"36",16,4,2,23,2,2015,0,0,0,0,28645,32257.33203125,3612.33203125,0.12610689583697,0.12610689583697
"61",21,5,2,30,3,2015,0,0,0,0,26564,29149.18359375,2585.18359375,0.0973190631587863,0.0973190631587863
"71",9,3,2,13,4,2015,0,0,0,0,32223,33037.4296875,814.4296875,0.0252747940135928,0.0252747940135928
"72",10,3,3,14,4,2015,0,0,0,0,38252,39287.359375,1035.359375,0.0270668036965387,0.0270668036965387
"75",13,3,6,17,4,2015,0,0,0,0,28212,29212.935546875,1000.935546875,0.0354790708519424,0.0354790708519424
"95",11,2,6,15,5,2015,0,0,0,0,29978,28370.826171875,-1607.173828125,-0.0536117762400761,0.0536117762400761
"98",14,3,4,20,5,2015,0,0,0,0,44205,41179.546875,-3025.453125,-0.0684414234815066,0.0684414234815066
"99",15,3,5,21,5,2015,0,0,0,0,33030,34566.6484375,1536.6484375,0.0465228107023918,0.0465228107023918
"104",2,1,3,2,6,2015,0,0,0,0,54640,53767.08984375,-872.91015625,-0.0159756617176062,0.0159756617176062
"105",3,1,4,3,6,2015,0,0,0,0,47108,47341.54296875,233.54296875,0.0049576073862189,0.0049576073862189
"117",15,3,6,19,6,2015,0,0,0,0,29016,29669.302734375,653.302734375,0.0225152582842225,0.0225152582842225
"130",9,3,2,13,7,2015,0,0,0,0,34347,34188.08984375,-158.91015625,-0.00462660949282325,0.00462660949282325
"135",14,4,2,20,7,2015,0,0,0,0,35776,37350.5546875,1574.5546875,0.0440114794135733,0.0440114794135733
"141",20,5,3,28,7,2015,0,0,0,0,38022,35627.72265625,-2394.27734375,-0.0629708417166377,0.0629708417166377
"144",23,5,6,31,7,2015,0,0,0,0,28883,28665.591796875,-217.408203125,-0.00752720296108437,0.00752720296108437
"148",4,1,5,6,8,2015,0,0,0,0,42623,42345.703125,-277.296875,-0.00650580379138024,0.00650580379138024
"158",14,3,5,20,8,2015,0,0,0,0,39232,36008.2734375,-3223.7265625,-0.0821708442725326,0.0821708442725326
"159",15,3,6,21,8,2015,0,0,0,0,31365,29829.302734375,-1535.697265625,-0.0489621318547744,0.0489621318547744
"164",20,4,6,28,8,2015,0,0,0,0,28665,28586.490234375,-78.509765625,-0.00273887199110413,0.00273887199110413
"165",21,5,2,31,8,2015,0,0,0,0,31473,30909.80859375,-563.19140625,-0.0178944303450577,0.0178944303450577
"167",2,1,4,2,9,2015,0,0,0,0,52762,51037.63671875,-1724.36328125,-0.0326819165545279,0.0326819165545279
"171",9,2,6,11,9,2015,0,0,0,0,33254,30381.841796875,-2872.158203125,-0.0863703074254225,0.0863703074254225
"180",18,4,5,24,9,2015,0,0,0,0,32366,32899.69140625,533.69140625,0.0164892605280232,0.0164892605280232
"181",19,4,6,25,9,2015,0,0,0,0,30858,29611.255859375,-1246.744140625,-0.040402623002949,0.040402623002949
"185",1,1,5,1,10,2015,0,0,0,0,41728,41199.96484375,-528.03515625,-0.0126542167429544,0.0126542167429544
