"","WORKDAY","MONTHWEEK","WEEKDAY","MONTHDAY","MONTH","YEAR","BEFVAC","AFTVAC","BEFCHR","AFTCHR","WHSLINES","forecastlines","delta","error_rate","error_rate_abs"
"4",6,1,5,8,1,2015,0,0,0,0,54014,46723.59375,-7290.40625,-0.13497253026993,0.13497253026993
"5",7,1,6,9,1,2015,0,0,0,0,41310,39179.84375,-2130.15625,-0.0515651476640039,0.0515651476640039
"9",11,2,5,15,1,2015,0,0,0,0,45576,43452.109375,-2123.890625,-0.0466010756757943,0.0466010756757943
"10",12,2,6,16,1,2015,0,0,0,0,37190,38700.46875,1510.46875,0.0406149166442592,0.0406149166442592
"17",19,4,3,27,1,2015,0,0,0,0,36232,47724.3671875,11492.3671875,0.317188319372378,0.317188319372378
"23",3,1,4,4,2,2015,0,0,0,0,53050,47960.8359375,-5089.1640625,-0.0959314620640905,0.0959314620640905
"30",10,2,6,13,2,2015,0,0,0,0,37844,37616.171875,-227.828125,-0.00602019144382201,0.00602019144382201
"31",11,3,2,16,2,2015,0,0,0,0,39433,42711.71484375,3278.71484375,0.0831464723391576,0.0831464723391576
"50",10,2,6,13,3,2015,0,0,0,0,38261,37879.21875,-381.78125,-0.00997833956247876,0.00997833956247876
"51",11,3,2,16,3,2015,0,0,0,0,49053,48349.99609375,-703.00390625,-0.01433151705808,0.01433151705808
"64",2,1,5,2,4,2015,0,0,0,0,46205,47726.2578125,1521.2578125,0.0329240950654691,0.0329240950654691
"68",6,2,4,8,4,2015,0,0,0,0,47981,49650.4921875,1669.4921875,0.0347948602050812,0.0347948602050812
"72",10,3,3,14,4,2015,0,0,0,0,52519,52706.2421875,187.2421875,0.00356522758430282,0.00356522758430282
"74",12,3,5,16,4,2015,0,0,0,0,39458,43755.5078125,4297.5078125,0.108913472869887,0.108913472869887
"79",17,4,5,23,4,2015,0,0,0,0,40896,41498.0859375,602.0859375,0.0147223674075704,0.0147223674075704
"87",3,1,3,5,5,2015,0,0,0,0,55180,57445.9140625,2265.9140625,0.041064046076477,0.041064046076477
"98",14,3,4,20,5,2015,0,0,0,0,50184,50454.4609375,270.4609375,0.0053893858102184,0.0053893858102184
