"","WORKDAY","MONTHWEEK","WEEKDAY","MONTHDAY","MONTH","YEAR","BEFVAC","AFTVAC","BEFCHR","AFTCHR","WHSLINES","forecastlines","delta","error_rate","error_rate_abs"
"4",6,1,5,8,1,2015,0,0,0,0,29209,29188.8125,-20.1875,-0.000691139717210449,0.000691139717210449
"5",7,1,6,9,1,2015,0,0,0,0,26195,24139.58203125,-2055.41796875,-0.0784660419450277,0.0784660419450277
"8",10,2,4,14,1,2015,0,0,0,0,26135,27532.572265625,1397.572265625,0.0534751201693132,0.0534751201693132
"13",15,3,4,21,1,2015,0,0,0,0,27353,26114.876953125,-1238.123046875,-0.045264616198406,0.045264616198406
"14",16,3,5,22,1,2015,0,0,0,0,23205,23879.5,674.5,0.0290670114199526,0.0290670114199526
"19",21,4,5,29,1,2015,0,0,0,0,20509,21155.0078125,646.0078125,0.0314987475010971,0.0314987475010971
"23",3,1,4,4,2,2015,0,0,0,0,29818,31086.27734375,1268.27734375,0.0425339507596083,0.0425339507596083
"24",5,1,6,6,2,2015,0,0,0,0,22982,25204.78125,2222.78125,0.0967183556696545,0.0967183556696545
"27",8,2,4,11,2,2015,0,0,0,0,25685,25820.541015625,135.541015625,0.00527704946953475,0.00527704946953475
"43",9,2,5,12,3,2015,0,0,0,0,22126,22594.8515625,468.8515625,0.021190073330019,0.021190073330019
"51",17,4,3,24,3,2015,0,0,0,0,29263,27081.712890625,-2181.287109375,-0.074540789029662,0.074540789029662
"60",4,2,2,6,4,2015,0,0,0,0,29798,34392.4296875,4594.4296875,0.154185840912142,0.154185840912142
"69",13,3,6,17,4,2015,0,0,0,0,20010,21554.359375,1544.359375,0.0771793790604698,0.0771793790604698
"70",14,4,2,20,4,2015,0,0,0,0,28451,27976.673828125,-474.326171875,-0.0166716871770764,0.0166716871770764
"74",19,5,2,27,4,2015,0,0,0,0,23816,23549.369140625,-266.630859375,-0.0111954509310967,0.0111954509310967
"95",21,4,6,29,5,2015,0,0,0,0,23109,22266.1953125,-842.8046875,-0.0364708419879701,0.0364708419879701
"99",4,1,5,4,6,2015,0,0,0,0,27743,27664.591796875,-78.408203125,-0.00282623375716397,0.00282623375716397
"109",14,3,5,18,6,2015,0,0,0,0,25711,25933.166015625,222.166015625,0.00864089361071137,0.00864089361071137
"111",16,4,2,22,6,2015,0,0,0,0,28298,26538.822265625,-1759.177734375,-0.0621661507659552,0.0621661507659552
"113",18,4,4,24,6,2015,0,0,0,0,27830,26854.916015625,-975.083984375,-0.0350371535887531,0.0350371535887531
"121",7,2,5,9,7,2015,0,0,0,0,27290,27778.265625,488.265625,0.0178917414803958,0.0178917414803958
"136",22,5,5,30,7,2015,0,0,0,0,24048,24477.033203125,429.033203125,0.0178407020594228,0.0178407020594228
"137",23,5,6,31,7,2015,0,0,0,0,24824,22876.8984375,-1947.1015625,-0.0784362537262327,0.0784362537262327
"138",1,1,2,3,8,2015,0,0,0,0,33323,36592.29296875,3269.29296875,0.0981092029154038,0.0981092029154038
"147",10,2,6,14,8,2015,0,0,0,0,24814,23938.0703125,-875.9296875,-0.0352998181470138,0.0352998181470138
"149",12,3,3,18,8,2015,0,0,0,0,33994,32685.111328125,-1308.888671875,-0.0385035203822733,0.0385035203822733
"153",16,4,2,24,8,2015,0,0,0,0,27749,28094.134765625,345.134765625,0.0124377370580922,0.0124377370580922
"157",20,4,6,28,8,2015,0,0,0,0,22062,23905.8828125,1843.8828125,0.083577319032726,0.083577319032726
"160",2,1,4,2,9,2015,0,0,0,0,42452,39631.5,-2820.5,-0.0664397437105437,0.0664397437105437
"172",17,4,4,23,9,2015,0,0,0,0,29292,28387.572265625,-904.427734375,-0.0308762711448518,0.0308762711448518
"174",19,4,6,25,9,2015,0,0,0,0,22376,23775.5703125,1399.5703125,0.0625478330577404,0.0625478330577404
"180",3,1,2,5,10,2015,0,0,0,0,37759,37107.17578125,-651.82421875,-0.0172627510990757,0.0172627510990757
"182",5,1,4,7,10,2015,0,0,0,0,32254,33148.41015625,894.41015625,0.0277302088500651,0.0277302088500651
"186",9,2,3,13,10,2015,0,0,0,0,30505,30803.1953125,298.1953125,0.0097752929847566,0.0097752929847566
"188",11,2,5,15,10,2015,0,0,0,0,25869,27230.431640625,1361.431640625,0.0526279191551664,0.0526279191551664
"191",14,3,3,20,10,2015,0,0,0,0,33974,32281.673828125,-1692.326171875,-0.0498123910012068,0.0498123910012068
"199",22,4,6,30,10,2015,0,0,0,0,20806,21040.5703125,234.5703125,0.0112741667067192,0.0112741667067192
"203",4,1,5,5,11,2015,0,0,0,0,33647,29435.646484375,-4211.353515625,-0.125162823301483,0.125162823301483
"212",13,3,4,18,11,2015,0,0,0,0,30094,30975.033203125,881.033203125,0.0292760418397355,0.0292760418397355
"213",14,3,5,19,11,2015,0,0,0,0,27587,27433.205078125,-153.794921875,-0.00557490563943162,0.00557490563943162
"215",16,4,2,23,11,2015,0,0,0,0,28683,28094.837890625,-588.162109375,-0.020505599462225,0.020505599462225
"216",17,4,3,24,11,2015,0,0,0,0,28250,29172.533203125,922.533203125,0.0326560425884956,0.0326560425884956
"222",5,2,2,7,12,2015,0,0,0,0,35519,34412.4609375,-1106.5390625,-0.0311534407640981,0.0311534407640981
"229",12,3,4,16,12,2015,0,0,0,0,32595,31645.931640625,-949.068359375,-0.0291169921575395,0.0291169921575395
